,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,81.0,1.0,1.0,2021-09-12,KAN,,CLE,"W, 33-29",*,2,1,9,9.0,0,50.0,4.5,0,0,0,,48,73.8,0,0.0,0,0.0
1,2.0,82.0,2.0,2.0,2021-09-19,KAN,@,BAL,"L, 35-36",*,4,3,46,15.3,1,75.0,11.5,0,0,0,,30,58.8,0,0.0,0,0.0
2,3.0,83.0,3.0,3.0,2021-09-26,KAN,,LAC,"L, 24-30",*,2,2,17,8.5,0,100.0,8.5,0,0,0,,57,72.2,0,0.0,0,0.0
3,4.0,84.0,4.0,4.0,2021-10-03,KAN,@,PHI,"W, 42-30",*,0,0,0,,0,,,0,0,0,,45,67.2,0,0.0,1,3.7
4,5.0,85.0,5.0,5.0,2021-10-10,KAN,,BUF,"L, 20-38",*,2,1,8,8.0,0,50.0,4.0,0,0,0,,65,75.6,0,0.0,0,0.0
5,6.0,86.0,6.0,6.0,2021-10-17,KAN,@,WAS,"W, 31-13",*,6,3,46,15.3,1,50.0,7.7,0,0,0,,57,69.5,0,0.0,0,0.0
6,7.0,87.0,7.0,7.0,2021-10-24,KAN,@,TEN,"L, 3-27",,4,1,7,7.0,0,25.0,1.8,0,0,0,,57,79.2,0,0.0,0,0.0
7,8.0,88.0,8.0,8.0,2021-11-01,KAN,,NYG,"W, 20-17",*,1,1,18,18.0,0,100.0,18.0,0,0,0,,33,40.7,0,0.0,0,0.0
8,9.0,89.0,9.0,9.0,2021-11-07,KAN,,GNB,"W, 13-7",,1,1,2,2.0,0,100.0,2.0,0,0,0,,14,21.5,0,0.0,1,4.5
9,10.0,90.0,10.0,10.0,2021-11-14,KAN,@,LVR,"W, 41-14",,4,3,23,7.7,0,75.0,5.8,0,0,0,,26,34.2,0,0.0,0,0.0
10,11.0,91.0,11.0,11.0,2021-11-21,KAN,,DAL,"W, 19-9",,0,0,0,,0,,,0,0,0,,28,41.2,0,0.0,1,3.7
11,12.0,92.0,12.0,13.0,2021-12-05,KAN,,DEN,"W, 22-9",,2,2,21,10.5,0,100.0,10.5,0,0,0,,31,54.4,0,0.0,6,27.3
12,13.0,93.0,13.0,14.0,2021-12-12,KAN,,LVR,"W, 48-9",,0,0,0,,0,,,0,0,0,,30,45.5,0,0.0,0,0.0
13,14.0,94.0,14.0,15.0,2021-12-16,KAN,@,LAC,"W, 34-28 (OT)",*,3,0,0,,0,0.0,0.0,0,0,0,,49,68.1,0,0.0,0,0.0
14,15.0,95.0,15.0,16.0,2021-12-26,KAN,,PIT,"W, 36-10",*,2,2,15,7.5,0,100.0,7.5,0,0,0,,46,66.7,0,0.0,3,11.5
15,16.0,96.0,16.0,17.0,2022-01-02,KAN,@,CIN,"L, 31-34",*,2,2,33,16.5,1,100.0,16.5,1,3,0,3.0,39,63.9,0,0.0,1,3.4
16,17.0,97.0,17.0,18.0,2022-01-08,KAN,@,DEN,"W, 28-24",,6,3,19,6.3,0,50.0,3.2,0,0,0,,41,52.6,0,0.0,0,0.0
17,,,,,,,,,12-5,,41,25,264,10.6,3,61.0,6.4,1,3,0,3.0,696,58.2,0,0.0,13,3.0
