,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,98.0,1.0,1.0,2022-09-11,BAL,@,NYJ,"W, 24-9",,4,2,19,9.5,0,50.0,4.8,0.0,1,1,0,0,0,0,0,0,0,0,0,0,25,44.6,0,0.0,1,3.7
1,2.0,99.0,2.0,2.0,2022-09-18,BAL,,MIA,"L, 38-42",,2,1,12,12.0,1,50.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,23,39.0,0,0.0,0,0.0
2,3.0,100.0,3.0,3.0,2022-09-25,BAL,@,NWE,"W, 37-26",,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,36.7,0,0.0,0,0.0
3,4.0,101.0,4.0,4.0,2022-10-02,BAL,,BUF,"L, 20-23",,3,2,10,5.0,0,66.7,3.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,55.7,0,0.0,0,0.0
4,5.0,102.0,5.0,5.0,2022-10-09,BAL,,CIN,"W, 19-17",,2,1,8,8.0,0,50.0,4.0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,49,75.4,0,0.0,0,0.0
5,6.0,103.0,6.0,6.0,2022-10-16,BAL,@,NYG,"L, 20-24",*,5,3,27,9.0,0,60.0,5.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45,76.3,0,0.0,0,0.0
6,7.0,104.0,7.0,7.0,2022-10-23,BAL,,CLE,"W, 23-20",,0,0,0,,0,,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,23.4,0,0.0,0,0.0
7,8.0,105.0,8.0,8.0,2022-10-27,BAL,@,TAM,"W, 27-22",,8,6,64,10.7,0,75.0,8.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,63.2,0,0.0,1,3.2
8,9.0,106.0,9.0,9.0,2022-11-07,BAL,@,NOR,"W, 27-13",,4,1,12,12.0,0,25.0,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,50.0,0,0.0,1,3.8
9,10.0,107.0,10.0,11.0,2022-11-20,BAL,,CAR,"W, 13-3",*,9,9,128,14.2,0,100.0,14.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,54,78.3,0,0.0,0,0.0
10,11.0,108.0,11.0,12.0,2022-11-27,BAL,@,JAX,"L, 27-28",*,4,1,17,17.0,0,25.0,4.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,43,59.7,0,0.0,0,0.0
11,12.0,109.0,12.0,13.0,2022-12-04,BAL,,DEN,"W, 10-9",,8,7,41,5.9,0,87.5,5.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,76.4,0,0.0,0,0.0
12,13.0,110.0,13.0,14.0,2022-12-11,BAL,@,PIT,"W, 16-14",,6,5,52,10.4,0,83.3,8.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,37,60.7,0,0.0,1,4.8
13,14.0,111.0,14.0,15.0,2022-12-17,BAL,@,CLE,"L, 3-13",*,6,6,29,4.8,0,100.0,4.8,0.0,1,1,0,0,0,0,2,1,0,0,0,0,40,63.5,0,0.0,0,0.0
14,15.0,112.0,15.0,16.0,2022-12-24,BAL,,ATL,"W, 17-9",,1,1,6,6.0,1,100.0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,28,53.8,0,0.0,0,0.0
15,16.0,113.0,16.0,17.0,2023-01-01,BAL,,PIT,"L, 13-16",,3,1,9,9.0,0,33.3,3.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,31,59.6,0,0.0,0,0.0
16,17.0,114.0,17.0,18.0,2023-01-08,BAL,@,CIN,"L, 16-27",*,9,2,24,12.0,0,22.2,2.7,0.0,2,2,0,0,0,0,0,0,0,0,0,0,49,62.8,0,0.0,0,0.0
17,,,,,,,,,10-7,,75,48,458,9.5,2,64.0,6.1,0.0,5,5,0,0,0,0,2,1,0,0,0,0,637,58.1,0,0.0,4,0.9
