,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2016,22,KAN,NFL,WR,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,
1,2017,23,KAN,NFL,WR,1.0,1.0,4.0,4.0,57.0,14.3,1.0,4.0,100.0,15.0,4.0,57.0,100.0,14.3,0.0,0.0,0.0,0.0,0.0,0.0,4.0,14.3,57.0,1.0,0.0,
2,2018,24,KAN,NFL,WR,2.0,0.0,1.0,1.0,27.0,27.0,0.0,1.0,100.0,27.0,0.5,13.5,100.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,27.0,27.0,0.0,0.0,
3,2019,25,KAN,NFL,WR,3.0,2.0,6.0,3.0,35.0,11.7,0.0,1.0,50.0,24.0,1.0,11.7,50.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.7,35.0,0.0,0.0,
4,2020,26,KAN,NFL,WR,3.0,2.0,5.0,2.0,25.0,12.5,0.0,2.0,40.0,14.0,0.7,8.3,40.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.5,25.0,0.0,0.0,
5,2021,27,KAN,NFL,WR,3.0,2.0,9.0,4.0,76.0,19.0,0.0,3.0,44.4,29.0,1.3,25.3,44.4,8.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,76.0,0.0,0.0,
6,2022,28,BAL,NFL,WR,1.0,0.0,3.0,2.0,49.0,24.5,1.0,1.0,66.7,41.0,2.0,49.0,66.7,16.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.5,49.0,1.0,0.0,
7,2023,29,LAR,NFL,WR,1.0,1.0,6.0,3.0,44.0,14.7,0.0,3.0,50.0,19.0,3.0,44.0,50.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.7,44.0,0.0,0.0,
8,2024,30,LAR,NFL,WR,2.0,2.0,9.0,4.0,97.0,24.3,0.0,4.0,44.4,48.0,2.0,48.5,44.4,10.8,0.0,0.0,0.0,0.0,0.0,0.0,4.0,24.3,97.0,0.0,0.0,
9,9 Yrs,9 Yrs,9 Yrs,9 Yrs,,17.0,10.0,43.0,23.0,410.0,17.8,2.0,19.0,53.5,48.0,1.4,24.1,53.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.8,410.0,2.0,0.0,
10,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,10.0,,23.0,410.0,17.8,2.0,19.0,,48.0,1.4,24.1,,,0.0,0.0,0.0,0.0,0.0,0.0,23.0,17.8,410.0,2.0,0.0,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,KAN (6 Yrs),KAN (6 Yrs),KAN (6 Yrs),KAN (6 Yrs),,13.0,7.0,25.0,14.0,220.0,15.7,1.0,11.0,56.0,29.0,1.1,16.9,56.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,14.0,15.7,220.0,1.0,0.0,
13,LAR (2 Yrs),LAR (2 Yrs),LAR (2 Yrs),LAR (2 Yrs),,3.0,3.0,15.0,7.0,141.0,20.1,0.0,7.0,46.7,48.0,2.3,47.0,46.7,9.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.1,141.0,0.0,0.0,
14,BAL (1 Yr),BAL (1 Yr),BAL (1 Yr),BAL (1 Yr),,1.0,0.0,3.0,2.0,49.0,24.5,1.0,1.0,66.7,41.0,2.0,49.0,66.7,16.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,24.5,49.0,1.0,0.0,
