,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,115.0,1.0,1.0,2023-09-10,LAR,@,SEA,"W, 30-13",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,3,3.7,0,0.0,0,0.0
1,2.0,116.0,2.0,2.0,2023-09-17,LAR,,SFO,"L, 23-30",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,6,7.5,0,0.0,5,17.9
2,3.0,117.0,3.0,3.0,2023-09-25,LAR,@,CIN,"L, 16-19",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,1,1.8,0,0.0,4,12.9
3,4.0,118.0,4.0,4.0,2023-10-01,LAR,@,IND,"W, 29-23 (OT)",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,7,8.5,0,0.0,7,25.9
4,4.0,,5.0,5.0,2023-10-08,LAR,,PHI,"L, 14-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,119.0,6.0,6.0,2023-10-15,LAR,,ARI,"W, 26-9",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,7,25.9
6,6.0,120.0,7.0,7.0,2023-10-22,LAR,,PIT,"L, 17-24",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,13,50.0
7,7.0,121.0,8.0,8.0,2023-10-29,LAR,@,DAL,"L, 20-43",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0.0,0,0.0,17,56.7
8,8.0,122.0,9.0,9.0,2023-11-05,LAR,@,GNB,"L, 3-20",,1,1,15,15.0,0,100.0,15.0,0,0,0,,1,20,0,20.0,0,0,0,0,0,0,9,15.5,0,0.0,12,52.2
9,9.0,123.0,10.0,11.0,2023-11-19,LAR,,SEA,"W, 17-16",,2,2,24,12.0,0,100.0,12.0,0,0,0,,0,0,0,,0,0,0,0,0,0,7,10.4,0,0.0,4,15.4
10,10.0,124.0,11.0,12.0,2023-11-26,LAR,@,ARI,"W, 37-14",,2,2,13,6.5,0,100.0,6.5,0,0,0,,0,0,0,,0,0,0,0,0,0,40,59.7,0,0.0,15,53.6
11,11.0,125.0,12.0,13.0,2023-12-03,LAR,,CLE,"W, 36-19",,5,4,55,13.8,1,80.0,11.0,0,0,0,,0,0,0,,0,0,0,0,0,0,38,59.4,0,0.0,9,27.3
12,12.0,126.0,13.0,14.0,2023-12-10,LAR,@,BAL,"L, 31-37 (OT)",,10,3,46,15.3,1,30.0,4.6,0,0,0,,0,0,0,,0,0,0,0,0,0,66,85.7,0,0.0,0,0.0
13,13.0,127.0,14.0,15.0,2023-12-17,LAR,,WAS,"W, 28-20",*,3,2,44,22.0,1,66.7,14.7,1,23,0,23.0,0,0,0,,0,0,0,0,0,0,71,94.7,0,0.0,0,0.0
14,14.0,128.0,15.0,16.0,2023-12-21,LAR,,NOR,"W, 30-22",*,6,6,82,13.7,1,100.0,13.7,0,0,0,,0,0,0,,0,0,0,0,0,0,65,92.9,0,0.0,0,0.0
15,15.0,129.0,16.0,17.0,2023-12-31,LAR,@,NYG,"W, 26-25",*,10,6,92,15.3,0,60.0,9.2,0,0,0,,0,0,0,,2,1,0,0,0,0,57,91.9,0,0.0,0,0.0
16,16.0,130.0,17.0,18.0,2024-01-07,LAR,@,SFO,"W, 21-20",*,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,26,38.8,0,0.0,0,0.0
17,,,,,,,,,10-6,,39,26,371,14.3,4,66.7,9.5,1,23,0,23.0,1,20,0,20.0,2,1,0,0,0,0,396,36.3,0,0.0,93,20.9
