,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2018-09-09,KAN,@,LAC,"W, 38-28",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,5,8.9,0,0.0,5,16.7
1,2.0,34.0,2.0,2.0,2018-09-16,KAN,@,PIT,"W, 42-37",,1,1,3,3.0,1,100.0,3.0,0,0,0,,0.0,0,0,0,0,0,0,7,12.1,0,0.0,15,42.9
2,3.0,35.0,3.0,3.0,2018-09-23,KAN,,SFO,"W, 38-27",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,11,14.7,0,0.0,12,42.9
3,4.0,36.0,4.0,4.0,2018-10-01,KAN,@,DEN,"W, 27-23",,3,2,31,15.5,0,66.7,10.3,0,0,0,,0.0,0,0,0,0,0,0,45,57.7,0,0.0,13,46.4
4,5.0,37.0,5.0,5.0,2018-10-07,KAN,,JAX,"W, 30-14",,1,0,0,,0,0.0,0.0,0,0,0,,0.0,0,0,0,0,0,0,9,12.9,0,0.0,10,41.7
5,6.0,38.0,6.0,6.0,2018-10-14,KAN,@,NWE,"L, 40-43",,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,6,11.1,0,0.0,9,25.0
6,7.0,39.0,7.0,7.0,2018-10-21,KAN,,CIN,"W, 45-10",,2,2,13,6.5,0,100.0,6.5,1,0,0,0.0,0.0,0,0,0,0,0,0,11,15.7,0,0.0,6,22.2
7,8.0,40.0,8.0,8.0,2018-10-28,KAN,,DEN,"W, 30-23",,1,1,1,1.0,0,100.0,1.0,0,0,0,,0.0,0,0,0,0,0,0,20,34.5,0,0.0,10,34.5
8,9.0,41.0,9.0,9.0,2018-11-04,KAN,@,CLE,"W, 37-21",,2,1,3,3.0,0,50.0,1.5,0,0,0,,0.0,0,0,0,0,0,0,18,28.6,0,0.0,9,39.1
9,10.0,42.0,10.0,10.0,2018-11-11,KAN,,ARI,"W, 26-14",*,4,3,30,10.0,0,75.0,7.5,0,0,0,,0.0,0,0,0,0,0,0,43,72.9,0,0.0,5,20.0
10,11.0,43.0,11.0,11.0,2018-11-19,KAN,@,LAR,"L, 51-54",,2,1,14,14.0,0,50.0,7.0,0,0,0,,0.0,1,1,0,0,0,0,35,48.6,0,0.0,12,27.9
11,12.0,44.0,12.0,13.0,2018-12-02,KAN,@,OAK,"W, 40-33",*,1,1,38,38.0,0,100.0,38.0,0,0,0,,0.0,0,0,0,0,0,0,42,59.2,0,0.0,3,9.4
12,13.0,45.0,13.0,14.0,2018-12-09,KAN,,BAL,"W, 27-24 (OT)",,7,5,42,8.4,0,71.4,6.0,0,0,0,,0.0,0,0,0,0,0,0,56,65.1,0,0.0,3,10.3
13,14.0,46.0,14.0,15.0,2018-12-13,KAN,,LAC,"L, 28-29",*,3,2,7,3.5,1,66.7,2.3,0,0,0,,0.0,0,0,0,0,0,0,36,60.0,0,0.0,6,26.1
14,15.0,47.0,15.0,16.0,2018-12-23,KAN,@,SEA,"L, 31-38",*,3,2,17,8.5,1,66.7,5.7,0,0,0,,0.0,0,0,0,0,0,0,40,65.6,0,0.0,10,30.3
15,16.0,48.0,16.0,17.0,2018-12-30,KAN,,OAK,"W, 35-3",*,2,1,89,89.0,1,50.0,44.5,0,0,0,,0.0,0,0,0,0,0,0,35,64.8,0,0.0,5,26.3
16,,,,,,,,,12-4,,33,22,288,13.1,4,66.7,8.7,1,0,0,0.0,0.0,1,1,0,0,0,0,419,40.1,0,0.0,133,28.7
