,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2016-09-11,KAN,,SDG,"W, 33-27 (OT)",,0.0,0,0,0,0,,0,0,0.0,0,0.0,23,67.6
1,2.0,2.0,2.0,2.0,2016-09-18,KAN,@,HOU,"L, 12-19",,0.0,1,1,0,0,0.0,0,2,3.1,0,0.0,20,62.5
2,3.0,3.0,3.0,3.0,2016-09-25,KAN,,NYJ,"W, 24-3",,0.0,0,0,0,0,,0,0,0.0,0,0.0,13,72.2
3,4.0,4.0,4.0,4.0,2016-10-02,KAN,@,PIT,"L, 14-43",,0.0,0,0,0,0,,0,0,0.0,0,0.0,20,69.0
4,5.0,5.0,5.0,6.0,2016-10-16,KAN,@,OAK,"W, 26-10",,0.0,0,0,0,0,,0,0,0.0,0,0.0,14,60.9
5,6.0,6.0,6.0,7.0,2016-10-23,KAN,,NOR,"W, 27-21",,0.0,1,1,0,0,0.0,0,0,0.0,0,0.0,16,61.5
6,7.0,7.0,7.0,8.0,2016-10-30,KAN,@,IND,"W, 30-14",,0.0,1,1,0,0,0.0,0,0,0.0,0,0.0,21,65.6
7,8.0,8.0,8.0,9.0,2016-11-06,KAN,,JAX,"W, 19-14",,0.0,0,0,0,0,,0,0,0.0,0,0.0,19,67.9
8,9.0,9.0,9.0,10.0,2016-11-13,KAN,@,CAR,"W, 20-17",,0.0,1,1,0,0,0.0,0,0,0.0,0,0.0,18,69.2
9,10.0,10.0,10.0,11.0,2016-11-20,KAN,,TAM,"L, 17-19",,0.0,0,0,0,0,,0,0,0.0,0,0.0,14,60.9
10,11.0,11.0,11.0,12.0,2016-11-27,KAN,@,DEN,"W, 30-27 (OT)",,0.0,0,0,0,0,,0,0,0.0,0,0.0,21,51.2
11,12.0,12.0,12.0,13.0,2016-12-04,KAN,@,ATL,"W, 29-28",,0.0,0,0,0,0,,0,0,0.0,0,0.0,10,41.7
12,13.0,13.0,13.0,14.0,2016-12-08,KAN,,OAK,"W, 21-13",,0.0,0,0,0,0,,0,0,0.0,0,0.0,16,55.2
13,14.0,14.0,14.0,15.0,2016-12-18,KAN,,TEN,"L, 17-19",,0.0,0,0,0,0,,0,0,0.0,0,0.0,14,58.3
14,15.0,15.0,15.0,16.0,2016-12-25,KAN,,DEN,"W, 33-10",,0.0,0,0,0,0,,0,0,0.0,0,0.0,21,67.7
15,16.0,16.0,16.0,17.0,2017-01-01,KAN,@,SDG,"W, 37-27",,0.0,0,0,0,0,,0,3,4.9,0,0.0,11,39.3
16,,,,,,,,,12-4,,0.0,4,4,0,0,0.0,0,5,0.5,0,0.0,271,60.5
