,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,31.0,1.0,1,2023-09-11,NYJ,,BUF,"W, 22-16 (OT)",,1,6,0,6.0,2,2,12,6.0,0,100.0,6.0,12,22.2,0,0.0,0,0.0
1,2.0,32.0,2.0,2,2023-09-17,NYJ,@,DAL,"L, 10-30",,2,8,0,4.0,2,1,3,3.0,0,50.0,1.5,15,31.9,0,0.0,5,17.9
2,3.0,33.0,3.0,3,2023-09-24,NYJ,,NWE,"L, 10-15",,0,0,0,,1,1,3,3.0,0,100.0,3.0,15,23.8,0,0.0,4,12.9
3,4.0,34.0,4.0,4,2023-10-01,NYJ,,KAN,"L, 20-23",,1,9,0,9.0,3,2,12,6.0,0,66.7,4.0,18,30.5,0,0.0,0,0.0
4,5.0,35.0,5.0,5,2023-10-08,NYJ,@,DEN,"W, 31-21",,1,8,0,8.0,3,3,14,4.7,0,100.0,4.7,20,30.8,0,0.0,2,6.3
5,6.0,36.0,6.0,6,2023-10-15,NYJ,,PHI,"W, 20-14",,1,5,0,5.0,1,0,0,,0,0.0,0.0,13,20.0,0,0.0,0,0.0
6,7.0,37.0,7.0,8,2023-10-29,NYJ,@,NYG,"W, 13-10 (OT)",,2,2,0,1.0,1,0,0,,0,0.0,0.0,15,23.4,0,0.0,0,0.0
7,8.0,38.0,8.0,9,2023-11-06,NYJ,,LAC,"L, 6-27",,0,0,0,,6,6,24,4.0,0,100.0,4.0,25,30.9,0,0.0,0,0.0
8,9.0,39.0,9.0,10,2023-11-12,NYJ,@,LVR,"L, 12-16",,0,0,0,,1,0,0,,0,0.0,0.0,9,13.6,0,0.0,0,0.0
9,,,,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals,Player went from New York Jets to Arizona Cardinals
10,9.0,,11.0,11,2023-11-19,ARI,@,HOU,"L, 16-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10.0,40.0,12.0,12,2023-11-26,ARI,,LAR,"L, 14-37",,4,19,0,4.8,4,4,15,3.8,0,100.0,3.8,27,38.0,0,0.0,0,0.0
12,11.0,41.0,13.0,13,2023-12-03,ARI,@,PIT,"W, 24-10",,4,25,0,6.3,0,0,0,,0,,,13,19.1,0,0.0,1,4.2
13,12.0,42.0,14.0,15,2023-12-17,ARI,,SFO,"L, 29-45",,3,27,0,9.0,3,3,10,3.3,0,100.0,3.3,18,24.3,0,0.0,0,0.0
14,13.0,43.0,15.0,16,2023-12-24,ARI,@,CHI,"L, 16-27",,0,0,0,,1,0,0,,0,0.0,0.0,2,3.3,0,0.0,0,0.0
15,14.0,44.0,16.0,17,2023-12-31,ARI,@,PHI,"W, 35-31",,7,61,0,8.7,1,1,6,6.0,1,100.0,6.0,13,17.1,0,0.0,0,0.0
16,15.0,45.0,17.0,18,2024-01-07,ARI,,SEA,"L, 20-21",,4,17,0,4.3,2,1,2,2.0,0,50.0,1.0,9,12.9,0,0.0,0,0.0
17,,,,,,,,,6-9,,30,187,0,6.2,31,24,101,4.2,1,77.4,3.3,224,22.8,0,0.0,12,2.8
