,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2021,22,NYJ,NFL,RB,14.0,11.0,147.0,639.0,4.0,29.0,51.0,55.0,4.3,45.6,10.5,55.0,36.0,325.0,9.0,0.0,16.0,47.3,23.0,2.6,23.2,65.5,5.9,183.0,5.3,964.0,4.0,1.0,6.0,
1,2022,23,NYJ,NFL,RB,16.0,10.0,114.0,402.0,3.0,14.0,42.1,25.0,3.5,25.1,7.1,54.0,41.0,288.0,7.0,0.0,12.0,46.3,37.0,2.6,18.0,75.9,5.3,155.0,4.5,690.0,3.0,2.0,4.0,
2,2023,24,2TM,NFL,RB,15.0,0.0,30.0,187.0,0.0,9.0,40.0,21.0,6.2,12.5,2.0,31.0,24.0,101.0,4.2,1.0,5.0,32.3,10.0,1.6,6.7,77.4,3.3,54.0,5.3,288.0,1.0,0.0,2.0,
3,2023,24,NYJ,NFL,RB,9.0,0.0,8.0,38.0,0.0,2.0,25.0,9.0,4.8,4.2,0.9,20.0,15.0,68.0,4.5,0.0,4.0,30.0,10.0,1.7,7.6,75.0,3.4,23.0,4.6,106.0,0.0,0.0,1.0,
4,2023,24,ARI,NFL,RB,6.0,0.0,22.0,149.0,0.0,7.0,45.5,21.0,6.8,24.8,3.7,11.0,9.0,33.0,3.7,1.0,1.0,36.4,8.0,1.5,5.5,81.8,3.0,31.0,5.9,182.0,1.0,0.0,1.0,
5,2024,25,ARI,NFL,RB,3.0,1.0,35.0,131.0,1.0,9.0,57.1,13.0,3.7,43.7,11.7,11.0,11.0,57.0,5.2,0.0,2.0,63.6,18.0,3.7,19.0,100.0,5.2,46.0,4.1,188.0,1.0,0.0,1.0,
6,2025,26,ARI,NFL,RB,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,1.0,1.0,1.0,0.0,0.0,,
7,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,49.0,22.0,327.0,1360.0,8.0,61.0,47.4,55.0,4.2,27.8,6.7,151.0,112.0,771.0,6.9,1.0,35.0,45.0,37.0,2.3,15.7,74.2,5.1,439.0,4.9,2131.0,9.0,3.0,13.0,
8,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,8.0,113.0,472.0,3.0,21.0,47.4,55.0,4.2,27.8,6.7,52.0,39.0,267.0,6.9,0.0,12.0,45.0,37.0,2.3,15.7,74.2,5.1,152.0,4.9,739.0,3.0,1.0,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,NYJ (3 Yrs),NYJ (3 Yrs),NYJ (3 Yrs),NYJ (3 Yrs),,39.0,21.0,269.0,1079.0,7.0,45.0,46.5,55.0,4.0,27.7,6.9,129.0,92.0,681.0,7.4,0.0,32.0,44.2,37.0,2.4,17.5,71.3,5.3,361.0,4.9,1760.0,7.0,3.0,11.0,
11,ARI (3 Yrs),ARI (3 Yrs),ARI (3 Yrs),ARI (3 Yrs),,10.0,1.0,58.0,281.0,1.0,16.0,51.7,21.0,4.8,28.1,5.8,22.0,20.0,90.0,4.5,1.0,3.0,50.0,18.0,2.0,9.0,90.9,4.1,78.0,4.8,371.0,2.0,0.0,2.0,
