,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,49.0,4.0,4.0,2025-09-25,ARI,,SEA,"L, 20-23",,1,1,0,1.0,4,6.0,0,0.0,1,3.7
1,,,,,,,,,0-1,,1,1,0,1.0,4,6.0,0,0.0,1,3.7
