,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2019,22,OAK,NFL,TE,13.0,7.0,25.0,21.0,174.0,8.3,5.0,14.0,68.0,23.0,1.6,13.4,84.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,8.3,174.0,5.0,0.0,1.0,
1,2020,23,LVR,NFL,TE,16.0,2.0,9.0,7.0,140.0,20.0,2.0,5.0,77.8,47.0,0.4,8.8,77.8,15.6,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,140.0,2.0,0.0,1.0,
2,2021,24,LVR,NFL,TE,17.0,11.0,44.0,30.0,373.0,12.4,3.0,16.0,52.3,44.0,1.8,21.9,68.2,8.5,0.0,0.0,0.0,0.0,0.0,0.0,30.0,12.4,373.0,3.0,1.0,3.0,
3,2022,25,LVR,NFL,TE,15.0,14.0,54.0,33.0,420.0,12.7,2.0,24.0,51.9,33.0,2.2,28.0,61.1,7.8,0.0,2.0,0.0,0.0,0.1,0.0,33.0,12.8,422.0,2.0,1.0,4.0,
4,2023,26,NOR,NFL,TE,15.0,10.0,25.0,21.0,193.0,9.2,1.0,9.0,60.0,23.0,1.4,12.9,84.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,21.0,9.2,193.0,1.0,0.0,2.0,
5,2024,27,NOR,NFL,TE,17.0,17.0,43.0,32.0,413.0,12.9,5.0,21.0,60.5,41.0,1.9,24.3,74.4,9.6,0.0,0.0,0.0,0.0,0.0,0.0,32.0,12.9,413.0,5.0,0.0,3.0,
6,6 Yrs,6 Yrs,6 Yrs,6 Yrs,,93.0,61.0,200.0,144.0,1713.0,11.9,18.0,89.0,58.0,47.0,1.5,18.4,72.0,8.6,0.0,2.0,0.0,0.0,0.0,0.0,144.0,11.9,1715.0,18.0,2.0,14.0,
7,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,37.0,26.0,313.0,11.9,3.0,16.0,58.0,47.0,1.5,18.4,72.0,8.6,0.0,0.0,0.0,0.0,0.0,0.0,26.0,2.2,313.0,3.0,0.0,3.0,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,OAK (4 Yrs),OAK (4 Yrs),OAK (4 Yrs),OAK (4 Yrs),,61.0,34.0,132.0,91.0,1107.0,12.2,12.0,59.0,56.8,47.0,1.5,18.1,68.9,8.4,0.0,2.0,0.0,0.0,0.0,0.0,91.0,12.2,1109.0,12.0,2.0,9.0,
10,NOR (2 Yrs),NOR (2 Yrs),NOR (2 Yrs),NOR (2 Yrs),,32.0,27.0,68.0,53.0,606.0,11.4,6.0,30.0,60.3,41.0,1.7,18.9,77.9,8.9,0.0,0.0,0.0,0.0,0.0,0.0,53.0,11.4,606.0,6.0,0.0,5.0,
