,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,14.0,1.0,1.0,2020-09-13,LVR,@,CAR,"W, 34-30",,2,2,21,10.5,0,100.0,10.5,2,37,0,18.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,47.6,0,0.0,2,6.9
1,2.0,15.0,2.0,2.0,2020-09-21,LVR,,NOR,"W, 34-24",,3,3,37,12.3,0,100.0,12.3,1,5,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,50.0,0,0.0,4,14.8
2,3.0,16.0,3.0,3.0,2020-09-27,LVR,@,NWE,"L, 20-36",,9,6,84,14.0,1,66.7,9.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,66.1,0,0.0,3,9.7
3,4.0,17.0,4.0,4.0,2020-10-04,LVR,,BUF,"L, 23-30",,8,5,57,11.4,0,62.5,7.1,1,16,0,16.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,50,67.6,0,0.0,4,14.8
4,5.0,18.0,5.0,5.0,2020-10-11,LVR,@,KAN,"W, 40-32",,2,1,42,42.0,0,50.0,21.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24,34.3,0,0.0,6,18.8
5,6.0,19.0,6.0,7.0,2020-10-25,LVR,,TAM,"L, 20-45",,6,4,42,10.5,0,66.7,7.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,53.8,0,0.0,3,9.7
6,7.0,20.0,7.0,8.0,2020-11-01,LVR,@,CLE,"W, 16-6",*,4,4,26,6.5,1,100.0,6.5,1,13,0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,15,20.8,0,0.0,2,11.1
7,8.0,21.0,8.0,9.0,2020-11-08,LVR,@,LAC,"W, 31-26",*,3,2,60,30.0,0,66.7,20.0,2,25,0,12.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,56.9,0,0.0,4,13.3
8,9.0,22.0,9.0,10.0,2020-11-15,LVR,,DEN,"W, 37-12",*,2,2,30,15.0,0,100.0,15.0,3,20,0,6.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,47.2,0,0.0,5,17.2
9,10.0,23.0,10.0,11.0,2020-11-22,LVR,,KAN,"L, 31-35",*,2,2,37,18.5,0,100.0,18.5,2,11,0,5.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,20,33.9,0,0.0,2,7.7
10,11.0,24.0,11.0,12.0,2020-11-29,LVR,@,ATL,"L, 6-43",,9,7,73,10.4,0,77.8,8.1,1,6,0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,41,65.1,0,0.0,3,9.1
11,12.0,25.0,12.0,13.0,2020-12-06,LVR,@,NYJ,"W, 31-28",*,6,4,47,11.8,0,66.7,7.8,2,23,0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,66.7,0,0.0,4,15.4
12,13.0,26.0,13.0,14.0,2020-12-13,LVR,,IND,"L, 27-44",,7,5,38,7.6,0,71.4,5.4,1,11,0,11.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,38,55.9,0,0.0,1,3.4
13,14.0,27.0,14.0,15.0,2020-12-17,LVR,,LAC,"L, 27-30 (OT)",,2,1,4,4.0,0,50.0,2.0,1,16,0,16.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,13,17.1,0,0.0,2,7.1
14,15.0,28.0,15.0,16.0,2020-12-26,LVR,,MIA,"L, 25-26",*,5,5,34,6.8,0,100.0,6.8,5,61,0,12.2,0.0,1,1,0,0,0,0,0,0,0,0,0,0,39,60.9,0,0.0,6,16.7
15,16.0,29.0,16.0,17.0,2021-01-03,LVR,@,DEN,"W, 32-31",,7,3,24,8.0,0,42.9,3.4,1,21,0,21.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,51,73.9,0,0.0,4,11.8
16,,,,,,,,,8-8,,77,56,656,11.7,2,72.7,8.5,23,265,0,11.5,0.0,1,1,0,0,0,0,2,1,0,0,0,0,550,50.8,0,0.0,55,11.8
