,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds.3,IntTD,PD,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1.0,2021-09-13,LVR,,BAL,"W, 33-27 (OT)",,9,6,70,11.7,0,66.7,7.8,0,0,0,,2,10,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,54.7,0,0.0,4,12.5
1,2.0,31.0,2.0,2.0,2021-09-19,LVR,@,PIT,"W, 26-17",,7,5,57,11.4,0,71.4,8.1,0,0,0,,2,26,0,13.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,43.9,0,0.0,5,17.9
2,3.0,32.0,3.0,3.0,2021-09-26,LVR,,MIA,"W, 31-28 (OT)",,6,5,77,15.4,1,83.3,12.8,0,0,0,,2,9,0,4.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,51.8,0,0.0,4,12.1
3,4.0,33.0,4.0,4.0,2021-10-04,LVR,@,LAC,"L, 14-28",*,8,6,45,7.5,1,75.0,5.6,0,0,0,,3,22,0,7.3,0.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,38,66.7,0,0.0,6,22.2
4,5.0,34.0,5.0,5.0,2021-10-10,LVR,,CHI,"L, 9-20",*,8,6,56,9.3,0,75.0,7.0,0,0,0,,1,9,0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,74.6,0,0.0,5,22.7
5,6.0,35.0,6.0,6.0,2021-10-17,LVR,@,DEN,"W, 34-24",,5,3,36,12.0,0,60.0,7.2,0,0,0,,1,5,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,57.1,0,0.0,5,16.1
6,7.0,36.0,7.0,7.0,2021-10-24,LVR,,PHI,"W, 33-22",,8,7,58,8.3,0,87.5,7.3,0,0,0,,1,15,0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,54.5,0,0.0,5,20.8
7,8.0,37.0,8.0,9.0,2021-11-07,LVR,@,NYG,"L, 16-23",*,9,7,49,7.0,1,77.8,5.4,0,0,0,,1,5,0,5.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,45,65.2,0,0.0,3,11.5
8,9.0,38.0,9.0,10.0,2021-11-14,LVR,,KAN,"L, 14-41",,9,7,46,6.6,1,77.8,5.1,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,72.2,0,0.0,2,7.1
9,10.0,39.0,10.0,11.0,2021-11-21,LVR,,CIN,"L, 13-32",*,4,4,30,7.5,0,100.0,7.5,1,5,0,5.0,2,23,0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,72.3,0,0.0,2,7.1
10,11.0,40.0,11.0,12.0,2021-11-25,LVR,@,DAL,"W, 36-33 (OT)",*,9,8,134,16.8,0,88.9,14.9,1,2,0,2.0,3,34,0,11.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,73.6,0,0.0,8,19.0
11,12.0,41.0,12.0,13.0,2021-12-05,LVR,,WAS,"L, 15-17",*,10,9,102,11.3,0,90.0,10.2,0,0,0,,1,6,0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,91.5,0,0.0,4,17.4
12,13.0,42.0,13.0,14.0,2021-12-12,LVR,@,KAN,"L, 9-48",*,14,13,117,9.0,1,92.9,8.4,0,0,0,,1,6,0,6.0,0.0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,59,93.7,0,0.0,1,3.8
13,14.0,43.0,14.0,15.0,2021-12-20,LVR,@,CLE,"W, 16-14",,5,3,32,10.7,0,60.0,6.4,0,0,0,,4,31,0,7.8,0.0,1,1,0,0,0,0,0,0,0,0,2,0,0,3,39,0,54,78.3,0,0.0,7,26.9
14,15.0,44.0,15.0,16.0,2021-12-26,LVR,,DEN,"W, 17-13",*,3,3,40,13.3,1,100.0,13.3,0,0,0,,1,6,0,6.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,58.0,0,0.0,5,22.7
15,16.0,45.0,16.0,17.0,2022-01-02,LVR,@,IND,"W, 23-20",*,9,7,76,10.9,1,77.8,8.4,0,0,0,,3,64,0,21.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,69.4,0,0.0,5,19.2
16,17.0,46.0,17.0,18.0,2022-01-09,LVR,,LAC,"W, 35-32 (OT)",,5,4,13,3.3,2,80.0,2.6,1,-4,0,-4.0,3,32,0,10.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,63.8,0,0.0,4,12.1
17,,,,,,,,,10-7,,128,103,1038,10.1,9,80.5,8.1,3,3,0,1.0,31,303,0,9.8,0.0,2,2,0,0,0,0,0,0,0,1,5,1,0,3,39,0,758,66.5,0,0.0,75,15.7
