,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2019-09-09,OAK,,DEN,"W, 24-16",,3,2,13,6.5,0,66.7,4.3,0,0,0,,0,0,0,0,0,0,16,29.1,0,0.0,1,4.0
1,2.0,2.0,2.0,2.0,2019-09-15,OAK,,KAN,"L, 10-28",,8,4,30,7.5,0,50.0,3.8,0,0,0,,0,0,0,0,0,0,46,74.2,0,0.0,0,0.0
2,3.0,3.0,3.0,3.0,2019-09-22,OAK,@,MIN,"L, 14-34",,4,3,28,9.3,0,75.0,7.0,0,0,0,,0,0,0,0,0,0,33,55.9,0,0.0,0,0.0
3,4.0,4.0,4.0,4.0,2019-09-29,OAK,@,IND,"W, 31-24",,3,2,18,9.0,0,66.7,6.0,0,0,0,,0,0,0,0,0,0,25,39.1,0,0.0,2,6.7
4,5.0,5.0,5.0,5.0,2019-10-06,OAK,,CHI,"W, 24-21",*,5,1,12,12.0,0,20.0,2.4,0,0,0,,0,0,0,0,0,0,42,58.3,0,0.0,3,11.1
5,6.0,6.0,6.0,7.0,2019-10-20,OAK,@,GNB,"L, 24-42",,3,2,14,7.0,0,66.7,4.7,0,0,0,,0,0,0,0,0,0,30,45.5,0,0.0,0,0.0
6,7.0,7.0,7.0,8.0,2019-10-27,OAK,@,HOU,"L, 24-27",,4,4,88,22.0,1,100.0,22.0,0,0,0,,0,0,0,0,0,0,35,63.6,0,0.0,0,0.0
7,8.0,8.0,8.0,9.0,2019-11-03,OAK,,DET,"W, 31-24",,7,6,54,9.0,1,85.7,7.7,0,0,0,,0,0,0,0,0,0,37,52.9,0,0.0,0,0.0
8,9.0,9.0,9.0,10.0,2019-11-07,OAK,,LAC,"W, 26-24",,5,4,42,10.5,0,80.0,8.4,0,0,0,,0,0,0,0,0,0,31,53.4,0,0.0,0,0.0
9,10.0,10.0,10.0,11.0,2019-11-17,OAK,,CIN,"W, 17-10",,6,5,66,13.2,0,83.3,11.0,0,0,0,,0,0,0,0,0,0,31,44.3,0,0.0,0,0.0
10,11.0,11.0,11.0,12.0,2019-11-24,OAK,@,NYJ,"L, 3-34",*,5,3,31,10.3,0,60.0,6.2,0,0,0,,0,0,0,0,0,0,24,41.4,0,0.0,0,0.0
11,11.0,,12.0,13.0,2019-12-01,OAK,@,KAN,"L, 9-40",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
12,11.0,,13.0,14.0,2019-12-08,OAK,,TEN,"L, 21-42",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,11.0,,14.0,15.0,2019-12-15,OAK,,JAX,"L, 16-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,12.0,12.0,15.0,16.0,2019-12-22,OAK,@,LAC,"W, 24-17",*,9,7,107,15.3,1,77.8,11.9,3,33,0,11.0,0,0,0,0,0,0,29,46.0,0,0.0,5,18.5
15,13.0,13.0,16.0,17.0,2019-12-29,OAK,@,DEN,"L, 15-16",*,9,6,102,17.0,1,66.7,11.3,2,5,0,2.5,1,0,0,0,0,0,56,76.7,0,0.0,5,18.5
16,,,,,,,,,7-6,,71,49,605,12.3,4,69.0,8.5,5,38,0,7.6,1,0,0,0,0,0,435,52.7,0,0.0,16,4.6
