,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,PRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,47.0,1.0,1.0,2022-09-11,LVR,@,LAC,"L, 19-24",*,6,3,21,7.0,0,50.0,3.5,2,4,0,2.0,0.0,1,1,0,0,0,0,1,0,0,1,0,0,48,82.8,0,0.0,4,16.7
1,2.0,48.0,2.0,2.0,2022-09-18,LVR,,ARI,"L, 23-29 (OT)",,10,7,59,8.4,0,70.0,5.9,0,0,0,,0.0,0,0,0,0,0,0,2,1,0,0,0,0,46,68.7,0,0.0,3,14.3
2,2.0,,3.0,3.0,2022-09-25,LVR,@,TEN,"L, 22-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,2.0,,4.0,4.0,2022-10-02,LVR,,DEN,"W, 32-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,3.0,49.0,5.0,5.0,2022-10-10,LVR,@,KAN,"L, 29-30",,4,4,25,6.3,0,100.0,6.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,35,54.7,0,0.0,0,0.0
5,4.0,50.0,6.0,7.0,2022-10-23,LVR,,HOU,"W, 38-20",,3,3,55,18.3,0,100.0,18.3,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,57.1,0,0.0,0,0.0
6,5.0,51.0,7.0,8.0,2022-10-30,LVR,@,NOR,"L, 0-24",,2,1,6,6.0,0,50.0,3.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,46,79.3,0,0.0,1,5.3
7,6.0,52.0,8.0,9.0,2022-11-06,LVR,@,JAX,"L, 20-27",,4,3,26,8.7,0,75.0,6.5,3,29,0,9.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,74.6,0,0.0,3,11.1
8,6.0,,9.0,10.0,2022-11-13,LVR,,IND,"L, 20-25",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,6.0,,10.0,11.0,2022-11-20,LVR,@,DEN,"W, 22-16 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,6.0,,11.0,12.0,2022-11-27,LVR,@,SEA,"W, 40-34 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,6.0,,12.0,13.0,2022-12-04,LVR,,LAC,"W, 27-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,6.0,,13.0,14.0,2022-12-08,LVR,@,LAR,"L, 16-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,7.0,53.0,14.0,15.0,2022-12-18,LVR,,NWE,"W, 30-24",,3,1,14,14.0,0,33.3,4.7,3,20,0,6.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,29,42.6,0,0.0,6,18.8
14,8.0,54.0,15.0,16.0,2022-12-24,LVR,@,PIT,"L, 10-13",,7,4,42,10.5,1,57.1,6.0,1,13,0,13.0,0.0,2,2,0,0,0,0,0,0,0,0,0,0,25,47.2,0,0.0,3,13.6
15,9.0,55.0,16.0,17.0,2023-01-01,LVR,,SFO,"L, 34-37 (OT)",,4,3,19,6.3,0,75.0,4.8,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,45.7,0,0.0,2,6.1
16,10.0,56.0,17.0,18.0,2023-01-07,LVR,,KAN,"L, 13-31",,7,7,63,9.0,1,100.0,9.0,2,8,0,4.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,57.1,0,0.0,4,17.4
17,,,,,,,,,2-8,,50,36,330,9.2,2,72.0,6.6,11,74,0,6.7,0.0,3,3,0,0,0,0,3,1,0,1,0,0,377,60.5,0,0.0,26,10.2
