,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,30.0,1.0,1.0,2021-09-12,NWE,,MIA,"L, 16-17",*,9,6,44,7.3,0,66.7,4.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,74,98.7,0,0.0,0,0.0
1,2.0,31.0,2.0,2.0,2021-09-19,NWE,@,NYJ,"W, 25-6",*,6,4,38,9.5,0,66.7,6.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,88.1,0,0.0,1,4.0
2,3.0,32.0,3.0,3.0,2021-09-26,NWE,,NOR,"L, 13-28",*,14,9,94,10.4,0,64.3,6.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,95.8,0,0.0,0,0.0
3,4.0,33.0,4.0,4.0,2021-10-03,NWE,,TAM,"L, 17-19",*,12,8,70,8.8,0,66.7,5.8,0,0,0,,2,2,100.0,45,0,0,22.5,22.5,118.7,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,94.9,0,0.0,0,0.0
4,5.0,34.0,5.0,5.0,2021-10-10,NWE,@,HOU,"W, 25-22",*,5,4,56,14.0,0,80.0,11.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,90.6,0,0.0,0,0.0
5,6.0,35.0,6.0,6.0,2021-10-17,NWE,,DAL,"L, 29-35 (OT)",,6,5,44,8.8,0,83.3,7.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,63.0,0,0.0,0,0.0
6,7.0,36.0,7.0,7.0,2021-10-24,NWE,,NYJ,"W, 54-13",*,7,5,44,8.8,0,71.4,6.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,77.6,0,0.0,0,0.0
7,8.0,37.0,8.0,8.0,2021-10-31,NWE,@,LAC,"W, 27-24",*,9,4,36,9.0,0,44.4,4.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,71,92.2,0,0.0,1,3.3
8,9.0,38.0,9.0,9.0,2021-11-07,NWE,@,CAR,"W, 24-6",*,4,1,8,8.0,0,25.0,2.0,0,0,0,,0,0,,0,0,0,,,,0,0,1,7,0,7.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,88.7,0,0.0,2,9.1
9,10.0,39.0,10.0,10.0,2021-11-14,NWE,,CLE,"W, 45-7",*,4,4,49,12.3,1,100.0,12.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,71.6,0,0.0,4,17.4
10,11.0,40.0,11.0,11.0,2021-11-18,NWE,@,ATL,"W, 25-0",*,6,4,39,9.8,0,66.7,6.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,87.5,0,0.0,0,0.0
11,12.0,41.0,12.0,12.0,2021-11-28,NWE,,TEN,"W, 36-13",*,8,5,98,19.6,0,62.5,12.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,52,86.7,0,0.0,0,0.0
12,13.0,42.0,13.0,13.0,2021-12-06,NWE,@,BUF,"W, 14-10",*,0,0,0,,0,,,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,52.9,0,0.0,0,0.0
13,14.0,43.0,14.0,15.0,2021-12-18,NWE,@,IND,"L, 17-27",*,12,6,44,7.3,0,50.0,3.7,1,9,0,9.0,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,64,94.1,0,0.0,1,4.0
14,15.0,44.0,15.0,16.0,2021-12-26,NWE,,BUF,"L, 21-33",*,8,6,59,9.8,0,75.0,7.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,2,2,0,0,0,0,0,0,0,0,0,0,48,75.0,0,0.0,0,0.0
15,16.0,45.0,16.0,17.0,2022-01-02,NWE,,JAX,"W, 50-10",*,8,8,73,9.1,1,100.0,9.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,77.8,0,0.0,1,3.7
16,17.0,46.0,17.0,18.0,2022-01-09,NWE,@,MIA,"L, 24-33",*,8,4,70,17.5,0,50.0,8.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0.0,0,0,0,0,0,0,1,1,0,0,0,0,52,83.9,0,0.0,0,0.0
17,,,,,,,,,10-7,,126,83,866,10.4,2,65.9,6.9,1,9,0,9.0,2,2,100.0,45,0,0,22.5,22.5,118.7,0,0,1,7,0,7.0,0.0,2,2,0,0,0,0,1,1,0,0,0,0,931,84.2,0,0.0,10,2.3
