,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,77.0,1.0,1.0,2024-09-08,LVR,@,LAC,"L, 10-22",*,3,3,61,20.3,0,100.0,20.3,1,3,0,3.0,0,0,0,0,0,0,0,52,86.7,0,0.0,0,0.0
1,2.0,78.0,2.0,2.0,2024-09-15,LVR,@,BAL,"W, 26-23",*,5,4,29,7.3,0,80.0,5.8,0,0,0,,0,0,0,0,0,0,0,59,93.7,0,0.0,0,0.0
2,3.0,79.0,3.0,3.0,2024-09-22,LVR,,CAR,"L, 22-36",*,9,7,62,8.9,1,77.8,6.9,0,0,0,,0,0,0,0,0,0,0,59,92.2,0,0.0,0,0.0
3,4.0,80.0,4.0,4.0,2024-09-29,LVR,,CLE,"W, 20-16",*,10,5,49,9.8,0,50.0,4.9,0,0,0,,0,0,0,0,0,0,0,57,96.6,0,0.0,0,0.0
4,5.0,81.0,5.0,5.0,2024-10-06,LVR,@,DEN,"L, 18-34",*,9,6,72,12.0,0,66.7,8.0,0,0,0,,0,0,0,0,0,0,0,68,97.1,0,0.0,0,0.0
5,5.0,,6.0,6.0,2024-10-13,LVR,,PIT,"L, 13-32",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,7.0,2024-10-20,LVR,@,LAR,"L, 15-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,82.0,8.0,8.0,2024-10-27,LVR,,KAN,"L, 20-27",*,7,6,52,8.7,1,85.7,7.4,0,0,0,,0,0,0,0,0,0,0,47,81.0,0,0.0,0,0.0
8,7.0,83.0,9.0,9.0,2024-11-03,LVR,@,CIN,"L, 24-41",*,11,8,105,13.1,0,72.7,9.5,0,0,0,,0,0,0,0,0,0,0,59,96.7,0,0.0,0,0.0
9,8.0,84.0,10.0,11.0,2024-11-17,LVR,@,MIA,"L, 19-34",*,6,4,28,7.0,0,66.7,4.7,1,20,0,20.0,0,0,0,0,0,0,0,57,87.7,0,0.0,0,0.0
10,9.0,85.0,11.0,12.0,2024-11-24,LVR,,DEN,"L, 19-29",*,15,10,121,12.1,0,66.7,8.1,0,0,0,,0,0,0,0,0,0,0,76,98.7,0,0.0,0,0.0
11,10.0,86.0,12.0,13.0,2024-11-29,LVR,@,KAN,"L, 17-19",*,11,6,97,16.2,0,54.5,8.8,0,0,0,,0,0,0,0,0,0,0,63,92.6,0,0.0,0,0.0
12,11.0,87.0,13.0,14.0,2024-12-08,LVR,@,TAM,"L, 13-28",*,10,7,67,9.6,0,70.0,6.7,0,0,0,,0,0,0,0,0,0,0,61,91.0,0,0.0,0,0.0
13,12.0,88.0,14.0,15.0,2024-12-16,LVR,,ATL,"L, 9-15",*,9,5,59,11.8,0,55.6,6.6,0,0,0,,0,0,0,0,0,1,10,60,89.6,0,0.0,0,0.0
14,13.0,89.0,15.0,16.0,2024-12-22,LVR,,JAX,"W, 19-14",*,5,2,41,20.5,0,40.0,8.2,0,0,0,,0,0,0,0,0,0,0,68,91.9,0,0.0,0,0.0
15,14.0,90.0,16.0,17.0,2024-12-29,LVR,@,NOR,"W, 25-10",*,9,5,61,12.2,1,55.6,6.8,0,0,0,,0,0,0,0,0,0,0,64,83.1,0,0.0,0,0.0
16,15.0,91.0,17.0,18.0,2025-01-05,LVR,,LAC,"L, 20-34",*,10,9,123,13.7,1,90.0,12.3,0,0,0,,0,0,0,0,0,0,0,48,94.1,0,0.0,0,0.0
17,,,,,,,,,4-11,,129,87,1027,11.8,4,67.4,8.0,2,23,0,11.5,0,0,0,0,0,1,10,898,91.5,0,0.0,0,0.0
