,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2024,25,BUF,NFL,RB,17,0,113,442,3,25,45.1,23,3.9,26.0,6.6,19,17,189,11.1,3,8,63.2,63.0,1.0,11.1,89.5,9.9,130,4.9,631,6,0,6.0,
1,2025,26,BUF,NFL,RB,3,0,10,26,0,2,40.0,8,2.6,8.7,3.3,2,1,-1,-1.0,0,0,0.0,,0.3,-0.3,50.0,-0.5,11,2.3,25,0,0,,
2,2 Yrs,2 Yrs,2 Yrs,2 Yrs,,20,0,123,468,3,27,44.7,23,3.8,23.4,6.2,21,18,188,10.4,3,8,57.1,63.0,0.9,9.4,85.7,9.0,141,4.7,656,6,0,6.0,
3,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,0,105,398,3,23,44.7,23,3.8,23.4,6.2,18,15,160,10.4,3,7,57.1,63.0,0.9,9.4,85.7,9.0,120,4.7,558,5,0,,
