,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,52.0,1.0,1.0,2023-09-10,SFO,@,PIT,"W, 30-7",*,7,5,55,11.0,0,71.4,7.9,2,8,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,59,86.8,0,0.0,0,0.0
1,2.0,53.0,2.0,2.0,2023-09-17,SFO,@,LAR,"W, 30-23",*,9,6,63,10.5,0,66.7,7.0,5,38,1,7.6,0,0,,0,0,0,,,,0,0,0,0,0,,1,0,0,0,0,0,51,89.5,0,0.0,0,0.0
2,3.0,54.0,3.0,3.0,2023-09-21,SFO,,NYG,"W, 30-12",*,12,6,129,21.5,1,50.0,10.8,1,2,0,2.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,68,81.9,0,0.0,0,0.0
3,4.0,55.0,4.0,4.0,2023-10-01,SFO,,ARI,"W, 35-16",*,0,0,0,,0,,,3,6,0,2.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,48,87.3,0,0.0,0,0.0
4,5.0,56.0,5.0,5.0,2023-10-08,SFO,,DAL,"W, 42-10",*,3,3,55,18.3,0,100.0,18.3,5,30,0,6.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,52,73.2,0,0.0,0,0.0
5,6.0,57.0,6.0,6.0,2023-10-15,SFO,@,CLE,"L, 17-19",*,1,0,0,,0,0.0,0.0,2,11,0,5.5,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,9,14.5,0,0.0,0,0.0
6,6.0,,7.0,7.0,2023-10-23,SFO,@,MIN,"L, 17-22",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,8.0,2023-10-29,SFO,,CIN,"L, 17-31",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,58.0,9.0,10.0,2023-11-12,SFO,@,JAX,"W, 34-3",*,4,4,30,7.5,0,100.0,7.5,3,29,1,9.7,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,35,56.5,0,0.0,2,8.7
9,8.0,59.0,10.0,11.0,2023-11-19,SFO,,TAM,"W, 27-14",*,4,3,63,21.0,0,75.0,15.8,1,-1,0,-1.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,51,85.0,0,0.0,0,0.0
10,9.0,60.0,11.0,12.0,2023-11-23,SFO,@,SEA,"W, 31-13",*,9,7,79,11.3,0,77.8,8.8,4,15,1,3.8,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,,0,0,0,0,0,0,50,75.8,0,0.0,0,0.0
11,10.0,61.0,12.0,13.0,2023-12-03,SFO,@,PHI,"W, 42-19",*,4,4,116,29.0,2,100.0,29.0,3,22,1,7.3,0,0,,0,0,0,,,,0,0,2,60,0,30.0,0,0,0,0,0,0,49,83.1,0,0.0,5,19.2
12,11.0,62.0,13.0,14.0,2023-12-10,SFO,,SEA,"W, 28-16",*,9,7,149,21.3,1,77.8,16.6,1,1,1,1.0,0,0,,0,0,0,,,,0,0,2,42,0,21.0,0,0,0,0,0,0,42,77.8,0,0.0,4,14.8
13,12.0,63.0,14.0,15.0,2023-12-17,SFO,@,ARI,"W, 45-29",*,7,4,48,12.0,2,57.1,6.9,1,11,0,11.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,48,85.7,0,0.0,6,19.4
14,13.0,64.0,15.0,16.0,2023-12-25,SFO,,BAL,"L, 19-33",*,12,4,47,11.8,0,33.3,3.9,2,7,0,3.5,0,0,,0,0,0,,,,0,0,2,52,0,26.0,0,0,0,0,0,0,67,95.7,0,0.0,7,25.9
15,14.0,65.0,16.0,17.0,2023-12-31,SFO,@,WAS,"W, 27-10",*,6,5,37,7.4,1,83.3,6.2,3,35,0,11.7,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,59,84.3,0,0.0,0,0.0
16,15.0,66.0,17.0,18.0,2024-01-07,SFO,,LAR,"L, 20-21",*,2,2,21,10.5,0,100.0,10.5,1,11,0,11.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,20,32.8,0,0.0,0,0.0
17,,,,,,,,,12-3,,89,60,892,14.9,7,67.4,10.0,37,225,5,6.1,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,6,154,0,25.7,1,0,0,0,0,0,708,74.2,0,0.0,24,6.2
