,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,39.0,1.0,1.0,2022-09-11,SFO,@,CHI,"L, 10-19",*,7,2,14,7.0,0,28.6,2.0,8,52,1,6.5,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,56,82.4,0,0.0,0,0.0
1,2.0,40.0,2.0,2.0,2022-09-18,SFO,,SEA,"W, 27-7",*,6,5,44,8.8,0,83.3,7.3,4,53,0,13.3,0,0,0,0.0,0,0,0,0,0,0,1,0,0,1,0,0,59,77.6,0,0.0,0,0.0
2,3.0,41.0,3.0,3.0,2022-09-25,SFO,@,DEN,"L, 10-11",*,8,5,73,14.6,0,62.5,9.1,5,6,0,1.2,0,0,0,0.0,1,1,0,0,0,0,0,0,0,0,0,0,44,78.6,0,0.0,0,0.0
3,4.0,42.0,4.0,4.0,2022-10-03,SFO,,LAR,"W, 24-9",*,7,6,115,19.2,1,85.7,16.4,2,2,0,1.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,80.0,0,0.0,0,0.0
4,5.0,43.0,5.0,5.0,2022-10-09,SFO,@,CAR,"W, 37-15",,9,2,20,10.0,1,22.2,2.2,2,12,0,6.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,79.1,0,0.0,1,3.6
5,6.0,44.0,6.0,6.0,2022-10-16,SFO,@,ATL,"L, 14-28",*,10,7,79,11.3,0,70.0,7.9,2,11,0,5.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,50,83.3,0,0.0,0,0.0
6,7.0,45.0,7.0,7.0,2022-10-23,SFO,,KAN,"L, 23-44",*,7,5,42,8.4,0,71.4,6.0,1,2,0,2.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,86.1,0,0.0,0,0.0
7,7.0,,8.0,8.0,2022-10-30,SFO,@,LAR,"W, 31-14",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,8.0,46.0,9.0,10.0,2022-11-13,SFO,,LAC,"W, 22-16",*,6,2,24,12.0,0,33.3,4.0,4,27,0,6.8,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,62,87.3,0,0.0,0,0.0
9,9.0,47.0,10.0,11.0,2022-11-21,SFO,@,ARI,"W, 38-10",*,9,7,57,8.1,0,77.8,6.3,3,37,1,12.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,34,58.6,0,0.0,0,0.0
10,10.0,48.0,11.0,12.0,2022-11-27,SFO,,NOR,"W, 13-0",*,7,3,43,14.3,0,42.9,6.1,2,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,78.6,0,0.0,0,0.0
11,11.0,49.0,12.0,13.0,2022-12-04,SFO,,MIA,"W, 33-17",*,10,6,58,9.7,0,60.0,5.8,4,5,0,1.3,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,82.1,0,0.0,0,0.0
12,12.0,50.0,13.0,14.0,2022-12-11,SFO,,TAM,"W, 35-7",*,5,4,43,10.8,0,80.0,8.6,4,21,1,5.3,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,27,42.9,0,0.0,0,0.0
13,12.0,,14.0,15.0,2022-12-15,SFO,@,SEA,"W, 21-13",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,12.0,,15.0,16.0,2022-12-24,SFO,,WAS,"W, 37-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,12.0,,16.0,17.0,2023-01-01,SFO,@,LVR,"W, 37-34 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,13.0,51.0,17.0,18.0,2023-01-08,SFO,,ARI,"W, 38-13",*,3,2,20,10.0,0,66.7,6.7,1,4,0,4.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,42,67.7,0,0.0,0,0.0
17,,,,,,,,,9-4,,94,56,632,11.3,2,59.6,6.7,42,232,3,5.5,0,0,0,0.0,1,1,0,0,0,0,3,2,0,1,0,0,659,76.3,0,0.0,1,0.3
