,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2022-09-11,CAR,,CLE,"L, 24-26",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,,,2.0,2.0,2022-09-18,CAR,@,NYG,"L, 16-19",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,31.0,3.0,3.0,2022-09-25,CAR,,NOR,"W, 22-14",,2,2,90,45.0,1,100.0,45.0,0,0,0,,2,54,0,27.0,11,18.0,0,0.0,3,10.3
3,2.0,32.0,4.0,4.0,2022-10-02,CAR,,ARI,"L, 16-26",,0,0,0,,0,,,1,0,0,0.0,1,28,0,28.0,4,7.7,0,0.0,1,4.3
4,2.0,,5.0,5.0,2022-10-09,CAR,,SFO,"L, 15-37",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2.0,,6.0,6.0,2022-10-16,CAR,@,LAR,"L, 10-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,3.0,33.0,7.0,7.0,2022-10-23,CAR,,TAM,"W, 21-3",,1,1,8,8.0,0,100.0,8.0,0,0,0,,0,0,0,,2,4.0,0,0.0,0,0.0
7,4.0,34.0,8.0,8.0,2022-10-30,CAR,@,ATL,"L, 34-37 (OT)",,6,5,26,5.2,0,83.3,4.3,0,0,0,,0,0,0,,23,28.8,0,0.0,0,0.0
8,5.0,35.0,9.0,9.0,2022-11-06,CAR,@,CIN,"L, 21-42",,1,0,0,,0,0.0,0.0,2,6,0,3.0,0,0,0,,3,6.1,0,0.0,0,0.0
9,6.0,36.0,10.0,10.0,2022-11-10,CAR,,ATL,"W, 25-15",*,4,3,17,5.7,0,75.0,4.3,2,42,1,21.0,0,0,0,,26,39.4,0,0.0,2,6.9
10,7.0,37.0,11.0,11.0,2022-11-20,CAR,@,BAL,"L, 3-13",,4,4,7,1.8,0,100.0,1.8,0,0,0,,0,0,0,,16,28.1,0,0.0,0,0.0
11,8.0,38.0,12.0,12.0,2022-11-27,CAR,,DEN,"W, 23-10",,2,2,19,9.5,0,100.0,9.5,1,2,0,2.0,0,0,0,,28,42.4,0,0.0,1,3.3
12,9.0,39.0,13.0,14.0,2022-12-11,CAR,@,SEA,"W, 30-24",,4,4,31,7.8,0,100.0,7.8,1,7,0,7.0,0,0,0,,21,29.2,0,0.0,1,3.6
13,10.0,40.0,14.0,15.0,2022-12-18,CAR,,PIT,"L, 16-24",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,13,28.3,0,0.0,2,8.0
14,11.0,41.0,15.0,16.0,2022-12-24,CAR,,DET,"W, 37-23",*,3,3,53,17.7,0,100.0,17.7,0,0,0,,0,0,0,,24,35.3,0,0.0,2,6.9
15,12.0,42.0,16.0,17.0,2023-01-01,CAR,@,TAM,"L, 24-30",*,3,2,13,6.5,0,66.7,4.3,1,7,0,7.0,0,0,0,,18,27.3,0,0.0,1,3.2
16,13.0,43.0,17.0,18.0,2023-01-08,CAR,@,NOR,"W, 10-7",*,1,1,8,8.0,0,100.0,8.0,1,1,0,1.0,0,0,0,,17,28.8,0,0.0,0,0.0
17,,,,,,,,,7-6,,32,27,272,10.1,1,84.4,8.5,9,65,1,7.2,3,82,0,27.3,206,26.0,0,0.0,13,3.7
