,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2021,21,NYJ,NFL,WR,11.0,6.0,77.0,43.0,538.0,12.5,5.0,24.0,45.5,62.0,3.9,48.9,55.8,7.0,5.0,54.0,1.0,3.0,100.0,19.0,10.8,4.9,0.5,48.0,12.3,592.0,6.0,0.0,4.0,
1,2022,22,NYJ,NFL,WR,16.0,9.0,65.0,37.0,446.0,12.1,1.0,22.0,44.6,42.0,2.3,27.9,56.9,6.9,5.0,5.0,0.0,2.0,40.0,10.0,1.0,0.3,0.3,42.0,10.7,451.0,1.0,1.0,3.0,
2,2023,23,CLE,NFL,WR,17.0,12.0,104.0,59.0,640.0,10.8,2.0,29.0,42.3,42.0,3.5,37.6,56.7,6.2,9.0,11.0,0.0,2.0,33.3,19.0,1.2,0.6,0.5,68.0,9.6,651.0,2.0,2.0,5.0,
3,2024,24,CLE,NFL,WR,17.0,13.0,102.0,61.0,538.0,8.8,1.0,25.0,35.3,44.0,3.6,31.6,59.8,5.3,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,62.0,8.7,539.0,1.0,0.0,3.0,
4,2025,25,BUF,NFL,WR,3.0,1.0,5.0,4.0,64.0,16.0,0.0,2.0,40.0,31.0,1.3,21.3,80.0,12.8,4.0,25.0,1.0,3.0,75.0,11.0,6.3,8.3,1.3,8.0,11.1,89.0,1.0,0.0,,
5,5 Yrs,5 Yrs,5 Yrs,5 Yrs,,64.0,41.0,353.0,204.0,2226.0,10.9,9.0,102.0,41.4,62.0,3.2,34.8,57.8,6.3,24.0,96.0,2.0,10.0,54.2,19.0,4.0,1.5,0.4,228.0,10.2,2322.0,11.0,3.0,15.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,11.0,94.0,54.0,591.0,10.9,2.0,27.0,41.4,62.0,3.2,34.8,57.8,6.3,6.0,26.0,1.0,3.0,54.2,19.0,4.0,1.5,0.4,61.0,10.2,617.0,3.0,1.0,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),CLE (2 Yrs),,34.0,25.0,206.0,120.0,1178.0,9.8,3.0,54.0,38.8,44.0,3.5,34.6,58.3,5.7,10.0,12.0,0.0,2.0,30.0,19.0,1.2,0.4,0.3,130.0,9.2,1190.0,3.0,2.0,8.0,
9,NYJ (2 Yrs),NYJ (2 Yrs),NYJ (2 Yrs),NYJ (2 Yrs),,27.0,15.0,142.0,80.0,984.0,12.3,6.0,46.0,45.1,62.0,3.0,36.4,56.3,6.9,10.0,59.0,1.0,5.0,70.0,19.0,5.9,2.2,0.4,90.0,11.6,1043.0,7.0,1.0,7.0,
10,BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),,3.0,1.0,5.0,4.0,64.0,16.0,0.0,2.0,40.0,31.0,1.3,21.3,80.0,12.8,4.0,25.0,1.0,3.0,75.0,11.0,6.3,8.3,1.3,8.0,11.1,89.0,1.0,0.0,,
