,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,12.0,1.0,1.0,2022-09-11,NYJ,,BAL,"L, 9-24",*,7,5,49,9.8,0,71.4,7.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,75,89.3,0,0.0,0,0.0
1,2.0,13.0,2.0,2.0,2022-09-18,NYJ,@,CLE,"W, 31-30",*,5,3,41,13.7,0,60.0,8.2,1,-6,0,-6.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,87.1,0,0.0,0,0.0
2,3.0,14.0,3.0,3.0,2022-09-25,NYJ,,CIN,"L, 12-27",*,9,4,49,12.3,0,44.4,5.4,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,73,93.6,0,0.0,0,0.0
3,4.0,15.0,4.0,4.0,2022-10-02,NYJ,@,PIT,"W, 24-20",*,4,3,53,17.7,0,75.0,13.3,1,2,0,2.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,63,90.0,0,0.0,0,0.0
4,5.0,16.0,5.0,5.0,2022-10-09,NYJ,,MIA,"W, 40-17",*,4,1,11,11.0,0,25.0,2.8,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,39,66.1,0,0.0,2,6.9
5,6.0,17.0,6.0,6.0,2022-10-16,NYJ,@,GNB,"W, 27-10",*,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,58.2,0,0.0,1,3.4
6,6.0,,7.0,7.0,2022-10-23,NYJ,@,DEN,"W, 16-9",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,7.0,18.0,8.0,8.0,2022-10-30,NYJ,,NWE,"L, 17-22",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,10,16.9,0,0.0,0,0.0
8,8.0,19.0,9.0,9.0,2022-11-06,NYJ,,BUF,"W, 20-17",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,45.0,0,0.0,0,0.0
9,9.0,20.0,10.0,11.0,2022-11-20,NYJ,@,NWE,"L, 3-10",,4,2,17,8.5,0,50.0,4.3,0,0,0,,1,9,0,9.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,27,54.0,0,0.0,1,3.3
10,10.0,21.0,11.0,12.0,2022-11-27,NYJ,,CHI,"W, 31-10",,2,2,64,32.0,1,100.0,32.0,1,-4,0,-4.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,34.9,0,0.0,0,0.0
11,11.0,22.0,12.0,13.0,2022-12-04,NYJ,@,MIN,"L, 22-27",*,6,2,7,3.5,0,33.3,1.2,1,10,0,10.0,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,0,0,0,58,68.2,0,0.0,0,0.0
12,12.0,23.0,13.0,14.0,2022-12-11,NYJ,@,BUF,"L, 12-20",,10,6,60,10.0,0,60.0,6.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,61,82.4,0,0.0,2,6.7
13,13.0,24.0,14.0,15.0,2022-12-18,NYJ,,DET,"L, 17-20",,7,4,51,12.8,0,57.1,7.3,1,3,0,3.0,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,47,74.6,0,0.0,0,0.0
14,14.0,25.0,15.0,16.0,2022-12-22,NYJ,,JAX,"L, 3-19",*,3,2,15,7.5,0,66.7,5.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,81.4,0,0.0,0,0.0
15,15.0,26.0,16.0,17.0,2023-01-01,NYJ,@,SEA,"L, 6-23",,2,2,18,9.0,0,100.0,9.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,70.0,0,0.0,0,0.0
16,16.0,27.0,17.0,18.0,2023-01-08,NYJ,@,MIA,"L, 6-11",*,1,1,11,11.0,0,100.0,11.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,1,0,0,0,0,0,39,69.6,0,0.0,0,0.0
17,,,,,,,,,6-10,,65,37,446,12.1,1,56.9,6.9,5,5,0,1.0,1,9,0,9.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,731,69.3,0,0.0,6,1.4
