,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,28.0,1.0,1.0,2023-09-10,CLE,,CIN,"W, 24-3",*,7,3,43,14.3,0,42.9,6.1,2,19,0,9.5,0,0,0,,0,0,0,0,0,0,51,68.9,0,0.0,0,0.0
1,2.0,29.0,2.0,2.0,2023-09-18,CLE,@,PIT,"L, 22-26",,9,3,36,12.0,0,33.3,4.0,1,5,0,5.0,0,0,0,,0,0,0,0,0,0,67,77.0,0,0.0,0,0.0
2,3.0,30.0,3.0,3.0,2023-09-24,CLE,,TEN,"W, 27-3",,9,9,49,5.4,0,100.0,5.4,3,-1,0,-0.3,0,0,0,,1,1,0,1,1,0,54,76.1,0,0.0,0,0.0
3,4.0,31.0,4.0,4.0,2023-10-01,CLE,,BAL,"L, 3-28",*,4,2,20,10.0,0,50.0,5.0,1,-20,0,-20.0,0,0,0,,0,0,0,0,0,0,57,82.6,0,0.0,0,0.0
4,5.0,32.0,5.0,6.0,2023-10-15,CLE,,SFO,"W, 19-17",*,7,4,19,4.8,0,57.1,2.7,1,8,0,8.0,0,0,0,,0,0,0,0,0,0,61,80.3,0,0.0,0,0.0
5,6.0,33.0,6.0,7.0,2023-10-22,CLE,@,IND,"W, 39-38",,7,4,59,14.8,0,57.1,8.4,0,0,0,,0,0,0,,0,0,0,0,0,0,59,78.7,0,0.0,0,0.0
6,7.0,34.0,7.0,8.0,2023-10-29,CLE,@,SEA,"L, 20-24",*,5,2,30,15.0,0,40.0,6.0,0,0,0,,2,23,0,11.5,0,0,0,0,0,0,64,82.1,0,0.0,3,11.5
7,8.0,35.0,8.0,9.0,2023-11-05,CLE,,ARI,"W, 27-0",*,2,2,14,7.0,0,100.0,7.0,0,0,0,,0,0,0,,0,0,0,0,0,0,45,61.6,0,0.0,0,0.0
8,9.0,36.0,9.0,10.0,2023-11-12,CLE,@,BAL,"W, 33-31",,7,5,44,8.8,1,71.4,6.3,0,0,0,,0,0,0,,0,0,0,0,0,0,65,83.3,0,0.0,0,0.0
9,10.0,37.0,10.0,11.0,2023-11-19,CLE,,PIT,"W, 13-10",*,7,6,60,10.0,0,85.7,8.6,0,0,0,,0,0,0,,0,0,0,0,0,0,53,70.7,0,0.0,0,0.0
10,11.0,38.0,11.0,12.0,2023-11-26,CLE,@,DEN,"L, 12-29",*,9,3,44,14.7,0,33.3,4.9,1,0,0,0.0,0,0,0,,1,1,0,0,-10,0,63,86.3,0,0.0,0,0.0
11,12.0,39.0,12.0,13.0,2023-12-03,CLE,@,LAR,"L, 19-36",,12,4,83,20.8,0,33.3,6.9,0,0,0,,0,0,0,,0,0,0,0,0,0,52,73.2,0,0.0,0,0.0
12,13.0,40.0,13.0,14.0,2023-12-10,CLE,,JAX,"W, 31-27",*,6,3,42,14.0,0,50.0,7.0,0,0,0,,0,0,0,,0,0,0,0,0,0,53,69.7,0,0.0,1,2.9
13,14.0,41.0,14.0,15.0,2023-12-17,CLE,,CHI,"W, 20-17",*,3,2,17,8.5,0,66.7,5.7,0,0,0,,0,0,0,,0,0,0,0,0,0,54,78.3,0,0.0,0,0.0
14,15.0,42.0,15.0,16.0,2023-12-24,CLE,@,HOU,"W, 36-22",*,4,2,19,9.5,0,50.0,4.8,0,0,0,,0,0,0,,0,0,0,0,0,0,67,81.7,0,0.0,2,8.3
15,16.0,43.0,16.0,17.0,2023-12-28,CLE,,NYJ,"W, 37-20",*,6,5,61,12.2,1,83.3,10.2,0,0,0,,0,0,0,,0,0,0,0,0,0,32,53.3,0,0.0,0,0.0
16,17.0,44.0,17.0,18.0,2024-01-07,CLE,@,CIN,"L, 14-31",*,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,0,0,0,6,11.3,0,0.0,0,0.0
17,,,,,,,,,11-6,,104,59,640,10.8,2,56.7,6.2,9,11,0,1.2,2,23,0,11.5,2,2,0,1,-9,0,903,72.8,0,0.0,6,1.2
