,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,Sfty
0,1.0,154.0,1.0,1.0,1995-09-03,GNB,,STL,"L, 14-17",*,2.5,0,0,0,0
1,2.0,155.0,2.0,2.0,1995-09-11,GNB,@,CHI,"W, 27-24",*,1.0,0,0,0,0
2,3.0,156.0,3.0,3.0,1995-09-17,GNB,,NYG,"W, 14-6",*,0.0,0,0,0,0
3,4.0,157.0,4.0,4.0,1995-09-24,GNB,@,JAX,"W, 24-14",*,1.0,0,0,0,0
4,5.0,158.0,5.0,6.0,1995-10-08,GNB,@,DAL,"L, 24-34",*,1.0,0,0,0,0
5,6.0,159.0,6.0,7.0,1995-10-15,GNB,,DET,"W, 30-21",*,0.0,0,0,0,0
6,7.0,160.0,7.0,8.0,1995-10-22,GNB,,MIN,"W, 38-21",*,2.0,0,0,0,0
7,8.0,161.0,8.0,9.0,1995-10-29,GNB,@,DET,"L, 16-24",*,0.0,0,0,0,0
8,9.0,162.0,9.0,10.0,1995-11-05,GNB,@,MIN,"L, 24-27",*,1.0,0,0,0,0
9,10.0,163.0,10.0,11.0,1995-11-12,GNB,,CHI,"W, 35-28",,0.5,0,0,0,0
10,11.0,164.0,11.0,12.0,1995-11-19,GNB,@,CLE,"W, 31-20",*,1.0,0,0,0,0
11,12.0,165.0,12.0,13.0,1995-11-26,GNB,,TAM,"W, 35-13",*,1.0,0,0,0,0
12,13.0,166.0,13.0,14.0,1995-12-03,GNB,,CIN,"W, 24-10",*,1.0,0,0,0,0
13,13.0,,14.0,15.0,1995-12-10,GNB,@,TAM,"L, 10-13 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,14.0,167.0,15.0,16.0,1995-12-16,GNB,@,NOR,"W, 34-23",,0.0,0,0,0,0
15,15.0,168.0,16.0,17.0,1995-12-24,GNB,,PIT,"W, 24-19",*,0.0,0,0,0,0
16,,,,,,,,,11-4,,12.0,0,0,0,0
