,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,Sfty,Fmb,FL,FF,FR,Yds,FRTD
0,1.0,138.0,1.0,1.0,1994-09-04,GNB,,MIN,"W, 16-10",*,1.0,0,0,0,0,0,0,0.0,0,0,0
1,2.0,139.0,2.0,2.0,1994-09-11,GNB,,MIA,"L, 14-24",*,0.0,0,0,0,0,0,0,,0,0,0
2,3.0,140.0,3.0,3.0,1994-09-18,GNB,@,PHI,"L, 7-13",*,0.0,0,0,0,0,0,0,,0,0,0
3,4.0,141.0,4.0,4.0,1994-09-25,GNB,,TAM,"W, 30-3",*,1.0,0,0,0,0,0,0,0.0,1,0,0
4,5.0,142.0,5.0,5.0,1994-10-02,GNB,@,NWE,"L, 16-17",*,1.0,0,0,0,0,0,0,0.0,0,0,0
5,6.0,143.0,6.0,6.0,1994-10-09,GNB,,RAM,"W, 24-17",*,2.0,0,0,0,0,0,0,0.0,0,0,0
6,7.0,144.0,7.0,8.0,1994-10-20,GNB,@,MIN,"L, 10-13 (OT)",*,1.0,0,0,0,0,0,0,0.0,0,0,0
7,8.0,145.0,8.0,9.0,1994-10-31,GNB,@,CHI,"W, 33-6",*,0.0,0,0,0,0,0,0,,0,0,0
8,9.0,146.0,9.0,10.0,1994-11-06,GNB,,DET,"W, 38-30",*,0.0,0,0,0,0,0,0,,0,0,0
9,10.0,147.0,10.0,11.0,1994-11-13,GNB,,NYJ,"W, 17-10",*,0.0,0,0,0,0,0,0,,0,0,0
10,11.0,148.0,11.0,12.0,1994-11-20,GNB,@,BUF,"L, 20-29",*,0.0,0,0,0,0,0,0,,0,0,0
11,12.0,149.0,12.0,13.0,1994-11-24,GNB,@,DAL,"L, 31-42",,1.0,0,0,0,0,0,0,0.0,0,0,0
12,13.0,150.0,13.0,14.0,1994-12-04,GNB,@,DET,"L, 31-34",*,1.0,0,0,0,0,0,0,0.0,0,0,0
13,14.0,151.0,14.0,15.0,1994-12-11,GNB,,CHI,"W, 40-3",*,0.0,0,0,0,0,0,0,,0,0,0
14,15.0,152.0,15.0,16.0,1994-12-18,GNB,,ATL,"W, 21-17",*,0.0,0,0,0,0,0,0,,0,0,0
15,16.0,153.0,16.0,17.0,1994-12-24,GNB,@,TAM,"W, 34-19",*,0.0,0,0,0,0,0,0,,0,0,0
16,,,,,,,,,9-7,,8.0,0,0,0,0,0,0,0.0,1,0,0
