,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty,Fmb,FF,FR,Yds,FRTD
0,1.0,106.0,1.0,1.0,1992-09-06,PHI,,NOR,"W, 15-13",*,0.0,0,0,0,0,,0,0,0
1,2.0,107.0,2.0,2.0,1992-09-13,PHI,@,PHO,"W, 31-14",*,0.0,0,0,0,0,,1,37,1
2,3.0,108.0,3.0,3.0,1992-09-20,PHI,,DEN,"W, 30-0",*,1.0,0,0,0,0,0.0,0,0,0
3,4.0,109.0,4.0,5.0,1992-10-05,PHI,,DAL,"W, 31-7",*,2.0,0,0,0,0,0.0,0,0,0
4,5.0,110.0,5.0,6.0,1992-10-11,PHI,@,KAN,"L, 17-24",*,0.0,0,0,0,0,,0,0,0
5,6.0,111.0,6.0,7.0,1992-10-18,PHI,@,WAS,"L, 12-16",*,1.0,0,0,0,0,0.0,0,0,0
6,7.0,112.0,7.0,8.0,1992-10-25,PHI,,PHO,"W, 7-3",*,0.0,0,0,0,0,,0,0,0
7,8.0,113.0,8.0,9.0,1992-11-01,PHI,@,DAL,"L, 10-20",*,0.0,0,0,0,0,,0,0,0
8,9.0,114.0,9.0,10.0,1992-11-08,PHI,,RAI,"W, 31-10",*,1.5,0,0,0,0,0.0,0,0,0
9,10.0,115.0,10.0,11.0,1992-11-15,PHI,@,GNB,"L, 24-27",*,0.0,0,0,0,0,,0,0,0
10,11.0,116.0,11.0,12.0,1992-11-22,PHI,@,NYG,"W, 47-34",*,3.5,0,0,0,0,0.0,0,0,0
11,12.0,117.0,12.0,13.0,1992-11-29,PHI,@,SFO,"L, 14-20",*,0.0,0,0,0,0,,0,0,0
12,13.0,118.0,13.0,14.0,1992-12-06,PHI,,MIN,"W, 28-17",*,1.0,0,0,0,0,0.0,0,0,0
13,14.0,119.0,14.0,15.0,1992-12-13,PHI,@,SEA,"W, 20-17 (OT)",*,2.0,0,0,0,0,0.0,0,0,0
14,15.0,120.0,15.0,16.0,1992-12-20,PHI,,WAS,"W, 17-13",*,1.0,0,0,0,0,0.0,0,0,0
15,16.0,121.0,16.0,17.0,1992-12-27,PHI,,NYG,"W, 20-10",*,1.0,0,0,0,0,0.0,0,0,0
16,,,,,,,,,11-5,,14.0,0,0,0,0,0.0,1,37,1
