,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty,Fmb,FF,FR,Yds,FRTD
0,1.0,58.0,1.0,1.0,1989-09-10,PHI,,SEA,"W, 31-7",*,0.0,0,0,0,0,,0,0,0
1,2.0,59.0,2.0,2.0,1989-09-17,PHI,@,WAS,"W, 42-37",*,0.0,0,0,0,0,,0,0,0
2,3.0,60.0,3.0,3.0,1989-09-24,PHI,,SFO,"L, 28-38",*,2.5,0,0,0,0,0.0,0,0,0
3,4.0,61.0,4.0,4.0,1989-10-02,PHI,@,CHI,"L, 13-27",*,0.0,0,0,0,0,,0,0,0
4,5.0,62.0,5.0,5.0,1989-10-08,PHI,,NYG,"W, 21-19",*,2.0,0,0,0,0,0.0,0,0,0
5,6.0,63.0,6.0,6.0,1989-10-15,PHI,@,PHO,"W, 17-5",*,0.0,0,0,0,0,,0,0,0
6,7.0,64.0,7.0,7.0,1989-10-22,PHI,,RAI,"W, 10-7",*,0.0,0,0,0,0,,0,0,0
7,8.0,65.0,8.0,8.0,1989-10-29,PHI,@,DEN,"W, 28-24",*,1.5,0,0,0,0,0.0,0,0,0
8,9.0,66.0,9.0,9.0,1989-11-05,PHI,@,SDG,"L, 17-20",*,1.0,0,0,0,0,0.0,0,0,0
9,10.0,67.0,10.0,10.0,1989-11-12,PHI,,WAS,"L, 3-10",*,0.0,0,0,0,0,,0,0,0
10,11.0,68.0,11.0,11.0,1989-11-19,PHI,,MIN,"W, 10-9",*,0.0,0,0,0,0,,1,10,0
11,12.0,69.0,12.0,12.0,1989-11-23,PHI,@,DAL,"W, 27-0",*,1.0,0,0,0,0,0.0,0,0,0
12,13.0,70.0,13.0,13.0,1989-12-03,PHI,@,NYG,"W, 24-17",*,1.0,0,0,0,0,0.0,0,0,0
13,14.0,71.0,14.0,14.0,1989-12-10,PHI,,DAL,"W, 20-10",*,1.0,0,0,0,0,0.0,0,0,0
14,15.0,72.0,15.0,15.0,1989-12-18,PHI,@,NOR,"L, 20-30",*,0.0,0,0,0,0,,0,0,0
15,16.0,73.0,16.0,16.0,1989-12-24,PHI,,PHO,"W, 31-14",*,1.0,0,0,0,0,0.0,0,0,0
16,,,,,,,,,11-5,,11.0,0,0,0,0,0.0,1,10,0
