,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty,Fmb,FF,FR,Yds,FRTD
0,1.0,42.0,1.0,1.0,1988-09-04,PHI,@,TAM,"W, 41-14",*,1.0,0,0,0,0,0.0,0,0,0
1,2.0,43.0,2.0,2.0,1988-09-11,PHI,,CIN,"L, 24-28",*,0.0,0,0,0,0,,0,0,0
2,3.0,44.0,3.0,3.0,1988-09-18,PHI,@,WAS,"L, 10-17",*,0.0,0,0,0,0,,0,0,0
3,4.0,45.0,4.0,4.0,1988-09-25,PHI,@,MIN,"L, 21-23",*,4.0,0,0,0,0,0.0,0,0,0
4,5.0,46.0,5.0,5.0,1988-10-02,PHI,,HOU,"W, 32-23",*,0.0,0,0,0,0,,0,0,0
5,6.0,47.0,6.0,6.0,1988-10-10,PHI,,NYG,"W, 24-13",*,2.5,0,0,0,0,0.0,0,0,0
6,7.0,48.0,7.0,7.0,1988-10-16,PHI,@,CLE,"L, 3-19",*,0.0,0,0,0,0,,0,0,0
7,8.0,49.0,8.0,8.0,1988-10-23,PHI,,DAL,"W, 24-23",*,0.0,0,0,0,0,,0,0,0
8,9.0,50.0,9.0,9.0,1988-10-30,PHI,,ATL,"L, 24-27",*,2.0,0,0,0,0,0.0,0,0,0
9,10.0,51.0,10.0,10.0,1988-11-06,PHI,,RAM,"W, 30-24",*,2.0,0,0,0,0,0.0,0,0,0
10,11.0,52.0,11.0,11.0,1988-11-13,PHI,@,PIT,"W, 27-26",*,1.0,0,0,0,0,0.0,0,0,0
11,12.0,53.0,12.0,12.0,1988-11-20,PHI,@,NYG,"W, 23-17 (OT)",*,0.5,0,0,0,0,0.0,0,0,0
12,13.0,54.0,13.0,13.0,1988-11-27,PHI,,PHO,"W, 31-21",*,1.0,0,0,0,0,0.0,1,0,0
13,14.0,55.0,14.0,14.0,1988-12-04,PHI,,WAS,"L, 19-20",*,0.0,0,0,0,0,,0,0,0
14,15.0,56.0,15.0,15.0,1988-12-10,PHI,@,PHO,"W, 23-17",*,2.0,0,0,0,0,0.0,1,0,0
15,16.0,57.0,16.0,16.0,1988-12-18,PHI,@,DAL,"W, 23-7",*,2.0,0,0,0,0,0.0,0,0,0
16,,,,,,,,,10-6,,18.0,0,0,0,0,0.0,2,0,0
