,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,Sfty,Fmb,FL,FF,FR,Yds,FRTD
0,1.0,185.0,1.0,1.0,1997-09-01,GNB,,CHI,"W, 38-24",*,0.5,0,0,0,0,0,0,0.0,0,0,0
1,2.0,186.0,2.0,2.0,1997-09-07,GNB,@,PHI,"L, 9-10",*,1.0,0,0,0,0,0,0,0.0,1,0,0
2,3.0,187.0,3.0,3.0,1997-09-14,GNB,,MIA,"W, 23-18",*,0.0,0,0,0,0,0,0,,0,0,0
3,4.0,188.0,4.0,4.0,1997-09-21,GNB,,MIN,"W, 38-32",*,1.0,0,0,0,0,0,0,0.0,0,0,0
4,5.0,189.0,5.0,5.0,1997-09-28,GNB,@,DET,"L, 15-26",*,1.0,0,0,0,0,0,0,0.0,0,0,0
5,6.0,190.0,6.0,6.0,1997-10-05,GNB,,TAM,"W, 21-16",*,2.0,0,0,0,0,0,0,0.0,0,0,0
6,7.0,191.0,7.0,7.0,1997-10-12,GNB,@,CHI,"W, 24-23",*,0.0,0,0,0,0,0,0,,0,0,0
7,8.0,192.0,8.0,9.0,1997-10-27,GNB,@,NWE,"W, 28-10",*,0.0,0,0,0,0,0,0,,1,0,0
8,9.0,193.0,9.0,10.0,1997-11-02,GNB,,DET,"W, 20-10",*,1.0,0,0,0,0,0,0,0.0,0,0,0
9,10.0,194.0,10.0,11.0,1997-11-09,GNB,,STL,"W, 17-7",*,0.0,0,0,0,0,0,0,,0,0,0
10,11.0,195.0,11.0,12.0,1997-11-16,GNB,@,IND,"L, 38-41",*,0.0,0,0,0,0,0,0,,0,0,0
11,12.0,196.0,12.0,13.0,1997-11-23,GNB,,DAL,"W, 45-17",*,0.0,0,0,0,0,0,0,,0,0,0
12,13.0,197.0,13.0,14.0,1997-12-01,GNB,@,MIN,"W, 27-11",*,2.5,0,0,0,0,0,0,0.0,0,0,0
13,14.0,198.0,14.0,15.0,1997-12-07,GNB,@,TAM,"W, 17-6",*,1.0,0,0,0,0,0,0,0.0,0,0,0
14,15.0,199.0,15.0,16.0,1997-12-14,GNB,@,CAR,"W, 31-10",*,0.0,0,0,0,0,0,0,,0,0,0
15,16.0,200.0,16.0,17.0,1997-12-20,GNB,,BUF,"W, 31-21",*,1.0,0,0,0,0,0,0,0.0,0,0,0
16,,,,,,,,,13-3,,11.0,0,0,0,0,0,0,0.0,2,0,0
