,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Sfty,Fmb,FF,FR,Yds,FRTD
0,1.0,122.0,1.0,1.0,1993-09-05,GNB,,RAM,"W, 36-6",*,0.0,0,0,0,0,,0,0,0
1,2.0,123.0,2.0,2.0,1993-09-12,GNB,,PHI,"L, 17-20",*,1.0,0,0,0,0,0.0,0,0,0
2,3.0,124.0,3.0,4.0,1993-09-26,GNB,@,MIN,"L, 13-15",*,0.5,0,0,0,0,0.0,0,0,0
3,4.0,125.0,4.0,5.0,1993-10-03,GNB,@,DAL,"L, 14-36",*,0.0,0,0,0,0,,0,0,0
4,5.0,126.0,5.0,6.0,1993-10-10,GNB,,DEN,"W, 30-27",*,3.0,0,0,0,0,0.0,0,0,0
5,6.0,127.0,6.0,8.0,1993-10-24,GNB,@,TAM,"W, 37-14",*,0.0,0,0,0,0,,0,0,0
6,7.0,128.0,7.0,9.0,1993-10-31,GNB,,CHI,"W, 17-3",*,2.0,0,0,0,0,0.0,0,0,0
7,8.0,129.0,8.0,10.0,1993-11-08,GNB,@,KAN,"L, 16-23",*,1.0,0,0,0,0,0.0,0,0,0
8,9.0,130.0,9.0,11.0,1993-11-14,GNB,@,NOR,"W, 19-17",*,2.0,0,0,0,0,0.0,1,0,0
9,10.0,131.0,10.0,12.0,1993-11-21,GNB,,DET,"W, 26-17",*,1.0,0,0,0,0,0.0,0,0,0
10,11.0,132.0,11.0,13.0,1993-11-28,GNB,,TAM,"W, 13-10",*,0.0,0,0,0,0,,0,0,0
11,12.0,133.0,12.0,14.0,1993-12-05,GNB,@,CHI,"L, 17-30",*,0.0,0,0,0,0,,0,0,0
12,13.0,134.0,13.0,15.0,1993-12-12,GNB,@,SDG,"W, 20-13",*,0.0,0,0,0,0,,0,0,0
13,14.0,135.0,14.0,16.0,1993-12-19,GNB,,MIN,"L, 17-21",*,0.0,0,0,0,0,,0,0,0
14,15.0,136.0,15.0,17.0,1993-12-26,GNB,,RAI,"W, 28-0",*,2.5,0,0,0,0,0.0,1,10,0
15,16.0,137.0,16.0,18.0,1994-01-02,GNB,@,DET,"L, 20-30",*,0.0,0,0,0,0,,0,0,0
16,,,,,,,,,9-7,,13.0,0,0,0,0,0.0,2,10,0
