,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,15.0,1.0,1.0,2023-09-11,BUF,@,NYJ,"L, 16-22 (OT)",,0,0,0,,0,,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,7,10.1,0,0.0,6,23.1
1,2.0,16.0,2.0,2.0,2023-09-17,BUF,,LVR,"W, 38-10",,1,1,11,11.0,1,100.0,11.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,12,15.4,0,0.0,3,13.6
2,3.0,17.0,3.0,3.0,2023-09-24,BUF,@,WAS,"W, 37-3",,1,1,5,5.0,0,100.0,5.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,16,23.5,0,0.0,2,9.1
3,4.0,18.0,4.0,4.0,2023-10-01,BUF,,MIA,"W, 48-20",*,1,0,0,,0,0.0,0.0,0,0,0,,2,43,0,21.5,0,0,0,,0,0,0,0,0,0,16,27.6,0,0.0,4,14.3
4,5.0,19.0,5.0,5.0,2023-10-08,BUF,,JAX,"L, 20-25",*,1,1,11,11.0,0,100.0,11.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,19,31.7,0,0.0,5,20.0
5,6.0,20.0,6.0,6.0,2023-10-15,BUF,,NYG,"W, 14-9",,1,1,13,13.0,0,100.0,13.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,24,39.3,0,0.0,7,33.3
6,7.0,21.0,7.0,7.0,2023-10-22,BUF,@,NWE,"L, 25-29",,4,4,35,8.8,0,100.0,8.8,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,24,33.8,0,0.0,7,29.2
7,8.0,22.0,8.0,8.0,2023-10-26,BUF,,TAM,"W, 24-18",*,6,6,92,15.3,0,100.0,15.3,0,0,0,,1,9,0,9.0,0,0,0,,0,0,0,0,0,0,45,65.2,0,0.0,5,19.2
8,9.0,23.0,9.0,9.0,2023-11-05,BUF,@,CIN,"L, 18-24",*,4,4,57,14.3,0,100.0,14.3,0,0,0,,1,27,0,27.0,0,0,0,,0,0,0,0,0,0,41,70.7,0,0.0,5,23.8
9,10.0,24.0,10.0,10.0,2023-11-13,BUF,,DEN,"L, 22-24",,2,1,24,24.0,0,50.0,12.0,0,0,0,,1,19,0,19.0,0,0,0,,0,0,0,0,0,0,41,75.9,0,0.0,10,37.0
10,11.0,25.0,11.0,11.0,2023-11-19,BUF,,NYJ,"W, 32-6",*,4,3,115,38.3,1,75.0,28.8,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,56,73.7,0,0.0,10,37.0
11,12.0,26.0,12.0,12.0,2023-11-26,BUF,@,PHI,"L, 34-37 (OT)",*,5,3,47,15.7,0,60.0,9.4,0,0,0,,0,0,0,,5,37,0,7.4,1,0,0,1,0,0,76,80.0,0,0.0,5,13.9
12,13.0,27.0,13.0,14.0,2023-12-10,BUF,@,KAN,"W, 20-17",,1,1,12,12.0,0,100.0,12.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,47,61.0,0,0.0,4,16.7
13,14.0,28.0,14.0,15.0,2023-12-17,BUF,,DAL,"W, 31-10",*,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,33,48.5,0,0.0,3,12.5
14,15.0,29.0,15.0,16.0,2023-12-23,BUF,@,LAC,"W, 24-22",*,3,3,45,15.0,0,100.0,15.0,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,32,58.2,0,0.0,7,23.3
15,16.0,30.0,16.0,17.0,2023-12-31,BUF,,NWE,"W, 27-21",*,4,4,39,9.8,0,100.0,9.8,1,10,0,10.0,0,0,0,,0,0,0,,0,0,0,0,0,0,55,79.7,0,0.0,4,13.8
16,17.0,31.0,17.0,18.0,2024-01-07,BUF,@,MIA,"W, 21-14",*,6,6,105,17.5,0,100.0,17.5,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,60,76.9,0,0.0,5,27.8
17,,,,,,,,,11-6,,45,39,611,15.7,2,86.7,13.6,1,10,0,10.0,5,98,0,19.6,5,37,0,7.4,1,0,0,1,0,0,604,51.9,0,0.0,92,21.4
