,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2024-09-08,BUF,,ARI,"W, 34-28",*,3,3,42,14.0,1,100.0,14.0,0,0,0,,0,0,0,0,0,0,0,0,0,33,53.2,0,0.0,0,0.0
1,2.0,33.0,2.0,2.0,2024-09-12,BUF,@,MIA,"W, 31-10",*,5,5,54,10.8,0,100.0,10.8,1,2,0,2.0,0,0,0,0,0,0,0,0,0,31,68.9,0,0.0,0,0.0
2,3.0,34.0,3.0,3.0,2024-09-23,BUF,,JAX,"W, 47-10",*,6,6,72,12.0,1,100.0,12.0,0,0,0,,0,0,0,0,0,0,0,0,0,35,54.7,0,0.0,0,0.0
3,4.0,35.0,4.0,4.0,2024-09-29,BUF,@,BAL,"L, 10-35",*,5,4,62,15.5,0,80.0,12.4,0,0,0,,0,0,0,0,0,0,0,0,0,35,59.3,0,0.0,0,0.0
4,4.0,,5.0,5.0,2024-10-06,BUF,@,HOU,"L, 20-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,5.0,36.0,6.0,6.0,2024-10-14,BUF,@,NYJ,"W, 23-20",,2,2,19,9.5,0,100.0,9.5,0,0,0,,0,0,0,0,0,0,0,0,0,26,37.7,0,0.0,0,0.0
6,6.0,37.0,7.0,7.0,2024-10-20,BUF,,TEN,"W, 34-10",*,7,7,65,9.3,0,100.0,9.3,0,0,0,,0,0,0,0,0,0,0,0,0,38,69.1,0,0.0,0,0.0
7,7.0,38.0,8.0,8.0,2024-10-27,BUF,@,SEA,"W, 31-10",,10,9,107,11.9,0,90.0,10.7,1,2,0,2.0,0,0,0,0,0,0,0,0,0,44,57.9,0,0.0,0,0.0
8,8.0,39.0,9.0,9.0,2024-11-03,BUF,,MIA,"W, 30-27",,7,6,50,8.3,0,85.7,7.1,0,0,0,,0,0,0,0,0,0,0,0,0,35,53.0,0,0.0,0,0.0
9,9.0,40.0,10.0,10.0,2024-11-10,BUF,@,IND,"W, 30-20",,9,6,58,9.7,0,66.7,6.4,0,0,0,,0,0,0,0,0,0,0,0,0,53,71.6,0,0.0,0,0.0
10,10.0,41.0,11.0,11.0,2024-11-17,BUF,,KAN,"W, 30-21",*,12,8,70,8.8,0,66.7,5.8,0,0,0,,0,0,0,0,0,0,0,0,0,52,71.2,0,0.0,0,0.0
11,11.0,42.0,12.0,13.0,2024-12-01,BUF,,SFO,"W, 35-10",*,7,4,30,7.5,0,57.1,4.3,0,0,0,,0,0,0,0,0,0,0,0,0,29,50.0,0,0.0,0,0.0
12,12.0,43.0,13.0,14.0,2024-12-08,BUF,@,LAR,"L, 42-44",,8,5,106,21.2,1,62.5,13.3,0,0,0,,0,0,0,0,0,0,0,0,0,47,78.3,0,0.0,1,3.0
13,13.0,44.0,14.0,15.0,2024-12-15,BUF,@,DET,"W, 48-42",*,7,6,39,6.5,1,85.7,5.6,0,0,0,,0,0,0,0,0,0,0,0,0,41,58.6,0,0.0,2,5.6
14,14.0,45.0,15.0,16.0,2024-12-22,BUF,,NWE,"W, 24-21",,6,2,22,11.0,0,33.3,3.7,0,0,0,,0,0,0,1,0,0,1,0,0,44,74.6,0,0.0,1,4.2
15,15.0,46.0,16.0,17.0,2024-12-29,BUF,,NYJ,"W, 40-14",*,6,3,25,8.3,0,50.0,4.2,0,0,0,,0,0,0,0,0,0,0,0,0,43,61.4,0,0.0,0,0.0
16,15.0,,17.0,18.0,2025-01-05,BUF,@,NWE,"L, 16-23",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,13-2,,100,76,821,10.8,4,76.0,8.2,2,4,0,2.0,0,0,0,1,0,0,1,0,0,586,61.0,0,0.0,4,1.0
