,Season,Age,Team,Lg,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds.1,Y/R,TD.1,1D.1,Succ%.1,Lng.1,R/G,Y/G.1,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2018,22,IND,NFL,RB,2.0,1.0,3.0,24.0,0.0,1.0,66.7,14.0,8.0,12.0,1.5,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,3.0,8.0,24.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,24,IND,NFL,RB,1.0,0.0,6.0,75.0,0.0,2.0,50.0,33.0,12.5,75.0,6.0,3.0,1.0,8.0,8.0,0.0,1.0,33.3,8.0,1.0,8.0,33.3,2.7,7.0,11.9,83.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,26,BUF,NFL,RB,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,2.0,11.0,5.5,0.0,0.0,33.3,7.0,1.0,5.5,66.7,3.7,2.0,5.5,11.0,0.0,1.0,
5,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,5.0,1.0,9.0,99.0,0.0,3.0,55.6,33.0,11.0,19.8,1.8,6.0,3.0,19.0,6.3,0.0,1.0,33.3,8.0,0.6,3.8,50.0,3.2,12.0,9.8,118.0,0.0,1.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,3.0,31.0,337.0,0.0,10.0,55.6,33.0,11.0,19.8,1.8,20.0,10.0,65.0,6.3,0.0,3.0,33.3,8.0,0.6,3.8,50.0,3.2,41.0,9.8,401.0,0.0,3.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,3.0,1.0,9.0,99.0,0.0,3.0,55.6,33.0,11.0,33.0,3.0,3.0,1.0,8.0,8.0,0.0,1.0,33.3,8.0,0.3,2.7,33.3,2.7,10.0,10.7,107.0,0.0,0.0,
9,BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),BUF (1 Yr),,2.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,2.0,11.0,5.5,0.0,0.0,33.3,7.0,1.0,5.5,66.7,3.7,2.0,5.5,11.0,0.0,1.0,
