,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Ret.1,Yds.3,PRTD,Y/Ret.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,66.0,1.0,1,2022-09-11,IND,@,HOU,"T, 20-20 (OT)",,6,6,50,8.3,0,100.0,8.3,3,4,0,1.3,0,0,0,,5,34,0,6.8,0.0,0,0,0,0,0,0,1,0,0,0,0,0,26,28.3,0,0.0,8,25.0
1,2.0,67.0,2.0,2,2022-09-18,IND,@,JAX,"L, 0-24",*,5,4,37,9.3,0,80.0,7.4,1,0,0,0.0,0,0,0,,0,0,0,,0.0,1,1,0,0,0,0,0,0,0,1,0,0,15,30.0,0,0.0,1,5.0
2,3.0,68.0,3.0,3,2022-09-25,IND,,KAN,"W, 20-17",*,6,5,23,4.6,0,83.3,3.8,3,7,0,2.3,0,0,0,,1,10,0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,32,45.1,0,0.0,3,13.0
3,4.0,69.0,4.0,4,2022-10-02,IND,,TEN,"L, 17-24",*,2,2,3,1.5,0,100.0,1.5,1,0,0,0.0,0,0,0,,2,20,0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,31.8,0,0.0,4,17.4
4,5.0,70.0,5.0,5,2022-10-06,IND,@,DEN,"W, 12-9 (OT)",*,2,1,5,5.0,0,50.0,2.5,1,3,0,3.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3.8,0,0.0,0,0.0
5,5.0,,6.0,6,2022-10-16,IND,,JAX,"W, 34-27",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,6.0,71.0,7.0,7,2022-10-23,IND,@,TEN,"L, 10-19",,5,5,41,8.2,0,100.0,8.2,4,2,0,0.5,0,0,0,,3,47,0,15.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24,37.5,0,0.0,3,12.5
7,7.0,72.0,8.0,8,2022-10-30,IND,,WAS,"L, 16-17",,2,2,29,14.5,0,100.0,14.5,5,20,1,4.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,36.2,0,0.0,1,3.8
8,,,,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills,Player went from Indianapolis Colts to Buffalo Bills
9,8.0,73.0,8.0,9,2022-11-06,BUF,@,NYJ,"L, 17-20",,1,0,0,,0,0.0,0.0,0,0,0,,0,0,0,,1,18,0,18.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,4,6.5,0,0.0,4,17.4
