,Season,Age,Team,Lg,Pos,G,GS,QBrec,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,1D,Succ%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,QBR,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,AV,Awards
0,2017,24,DAL,NFL,QB,2.0,0.0,,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.7,0.67,2.0,1.0,42.4,1.0,0.0,0.0,0.0,0.67,0.67,0.0,0.0,0.0,
1,2018,25,DAL,NFL,QB,1.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,
2,2019,26,DAL,NFL,QB,2.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2021,28,DAL,NFL,QB,5.0,1.0,1-0-0,30.0,47.0,63.8,422.0,3.0,6.4,1.0,2.1,18.0,40.0,73.0,9.0,9.3,14.1,84.4,105.1,47.8,3.0,19.0,6.0,8.06,8.36,1.0,1.0,1.0,
5,2022,29,DAL,NFL,QB,9.0,5.0,4-1-0,94.0,162.0,58.0,1051.0,5.0,3.1,3.0,1.9,52.0,38.5,46.0,6.5,6.27,11.2,116.8,80.0,60.8,7.0,49.0,4.14,5.93,5.72,0.0,2.0,4.0,
6,2023,30,DAL,NFL,QB,7.0,0.0,,18.0,24.0,75.0,144.0,0.0,0.0,1.0,4.2,7.0,52.0,29.0,6.0,4.13,8.0,20.6,72.2,52.1,1.0,8.0,4.0,5.44,3.64,0.0,0.0,0.0,
7,2024,31,DAL,NFL,QB,12.0,8.0,4-4-0,187.0,308.0,60.7,1844.0,12.0,3.9,5.0,1.6,92.0,42.4,64.0,6.0,6.04,9.9,153.7,83.8,41.0,13.0,95.0,4.05,5.45,5.5,0.0,0.0,4.0,
8,7 Yrs,7 Yrs,7 Yrs,7 Yrs,,38.0,14.0,9-5-0,330.0,544.0,60.7,3463.0,20.0,3.7,10.0,1.8,169.0,41.2,73.0,6.4,6.27,10.5,91.1,83.8,,24.0,171.0,4.23,5.8,5.71,1.0,3.0,9.0,
9,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,6.0,9-5-0,148.0,243.0,60.7,1549.0,9.0,3.7,4.0,1.8,76.0,41.2,,6.4,6.27,10.5,91.1,83.8,,11.0,77.0,4.23,5.8,5.71,0.0,1.0,4.0,
