,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,20.0,1.0,1.0,2023-09-10,DAL,@,NYG,"W, 40-0",,0,1,0.0,0,0,0,0.0,0.00,39.6,0,0,0,0,0,,7,12.1,0,0.0,0,0.0
1,1.0,,2.0,2.0,2023-09-17,DAL,,NYJ,"W, 30-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1.0,,3.0,3.0,2023-09-24,DAL,@,ARI,"L, 16-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,2.0,21.0,4.0,4.0,2023-10-01,DAL,,NWE,"W, 38-3",,2,2,100.0,20,0,0,10.0,10.00,108.3,0,0,3,-2,0,-0.7,7,10.0,0,0.0,0,0.0
4,3.0,22.0,5.0,5.0,2023-10-08,DAL,@,SFO,"L, 10-42",,2,2,100.0,8,0,0,4.0,4.00,83.3,1,8,1,-2,0,-2.0,10,20.4,0,0.0,0,0.0
5,3.0,,6.0,6.0,2023-10-16,DAL,@,LAC,"W, 20-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,4.0,23.0,7.0,8.0,2023-10-29,DAL,,LAR,"W, 43-20",,2,3,66.7,3,0,0,1.0,1.00,70.1,0,0,3,-3,0,-1.0,9,13.8,0,0.0,0,0.0
7,4.0,,8.0,9.0,2023-11-05,DAL,@,PHI,"L, 23-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,5.0,24.0,9.0,10.0,2023-11-12,DAL,,NYG,"W, 49-17",,7,9,77.8,68,0,1,7.6,2.56,58.6,0,0,2,5,0,2.5,18,23.1,0,0.0,0,0.0
9,6.0,25.0,10.0,11.0,2023-11-19,DAL,@,CAR,"W, 33-10",,2,3,66.7,15,0,0,5.0,5.00,78.5,0,0,3,-3,0,-1.0,11,15.3,0,0.0,0,0.0
10,6.0,,11.0,12.0,2023-11-23,DAL,,WAS,"W, 45-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,6.0,,12.0,13.0,2023-11-30,DAL,,SEA,"W, 41-35",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,6.0,,13.0,14.0,2023-12-10,DAL,,PHI,"W, 33-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,6.0,,14.0,15.0,2023-12-17,DAL,@,BUF,"L, 10-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,6.0,,15.0,16.0,2023-12-24,DAL,@,MIA,"L, 20-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,6.0,,16.0,17.0,2023-12-30,DAL,,DET,"W, 20-19",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,7.0,26.0,17.0,18.0,2024-01-07,DAL,@,WAS,"W, 38-10",,3,4,75.0,30,0,0,7.5,7.50,95.8,0,0,0,0,0,,7,9.7,0,0.0,0,0.0
17,,,,,,,,,6-1,,18,24,75.0,144,0,1,6.0,4.13,72.2,1,8,12,-5,0,-0.4,69,14.9,0,0.0,0,0.0
