,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,4.0,1.0,1.0,2019-09-08,DAL,,NYG,"W, 35-17",,3,4.4,0,0.0,0,0.0
1,1.0,,2.0,2.0,2019-09-15,DAL,@,WAS,"W, 31-21",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
2,1.0,,3.0,3.0,2019-09-22,DAL,,MIA,"W, 31-6",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
3,1.0,,4.0,4.0,2019-09-29,DAL,@,NOR,"L, 10-12",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
4,1.0,,5.0,5.0,2019-10-06,DAL,,GNB,"L, 24-34",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
5,1.0,,6.0,6.0,2019-10-13,DAL,@,NYJ,"L, 22-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
6,1.0,,7.0,7.0,2019-10-20,DAL,,PHI,"W, 37-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
7,1.0,,8.0,9.0,2019-11-04,DAL,@,NYG,"W, 37-18",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
8,1.0,,9.0,10.0,2019-11-10,DAL,,MIN,"L, 24-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
9,1.0,,10.0,11.0,2019-11-17,DAL,@,DET,"W, 35-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
10,1.0,,11.0,12.0,2019-11-24,DAL,@,NWE,"L, 9-13",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,1.0,,12.0,13.0,2019-11-28,DAL,,BUF,"L, 15-26",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,1.0,,13.0,14.0,2019-12-05,DAL,@,CHI,"L, 24-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,2.0,5.0,14.0,15.0,2019-12-15,DAL,,LAR,"W, 44-21",,2,2.9,0,0.0,0,0.0
14,2.0,,15.0,16.0,2019-12-22,DAL,@,PHI,"L, 9-17",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,2.0,,16.0,17.0,2019-12-29,DAL,,WAS,"W, 47-16",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,,,,,,,,,2-0,,5,3.6,0,0.0,0,0.0
