,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,AV,Awards
0,2022,23,DAL,NFL,WR,8,1,3,2,12,6.0,0,0,33.3,8,0.3,1.5,66.7,4.0,0,0,0,0,0.0,0.0,2,6.0,12,0,0,0.0,
1,2023,24,DAL,NFL,WR,17,6,36,22,268,12.2,2,13,55.6,45,1.3,15.8,61.1,7.4,0,0,0,0,0.0,0.0,22,12.2,268,2,1,3.0,
2,2024,25,DAL,NFL,WR,17,15,79,49,610,12.4,7,29,51.9,48,2.9,35.9,62.0,7.7,0,0,0,0,0.0,0.0,49,12.4,610,7,0,4.0,
3,2025,26,DAL,NFL,WR,3,2,12,6,40,6.7,0,4,33.3,12,2.0,13.3,50.0,3.3,0,0,0,0,0.0,0.0,6,6.7,40,0,0,,
4,4 Yrs,4 Yrs,4 Yrs,4 Yrs,,45,24,130,79,930,11.8,9,46,50.8,48,1.8,20.7,60.8,7.2,0,0,0,0,0.0,0.0,79,11.8,930,9,1,7.0,
5,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17,9,49,30,351,11.8,3,17,50.8,48,1.8,20.7,60.8,7.2,0,0,0,0,0.0,0.0,30,11.8,351,3,0,,
