,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.5,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,50.0,1.0,1.0,2024-09-08,DET,,LAR,"W, 26-20 (OT)",*,6,3,13,4.3,0,50.0,2.2,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,60,98.4,0,0.0,0,0.0
1,2.0,51.0,2.0,2.0,2024-09-15,DET,,TAM,"L, 16-20",*,18,11,119,10.8,0,61.1,6.6,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,79,91.9,0,0.0,0,0.0
2,3.0,52.0,3.0,3.0,2024-09-22,DET,@,ARI,"W, 20-13",*,8,7,75,10.7,1,87.5,9.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,65,95.6,0,0.0,0,0.0
3,4.0,53.0,4.0,4.0,2024-09-30,DET,,SEA,"W, 42-29",*,6,6,45,7.5,1,100.0,7.5,0,0,0,,1,1,100.0,7,1,0,7.0,27.0,135.4,0,0,0,0,0,,0,0,0,0,0,0,47,88.7,0,0.0,0,0.0
4,5.0,54.0,5.0,6.0,2024-10-13,DET,@,DAL,"W, 47-9",*,4,4,37,9.3,1,100.0,9.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,43,63.2,0,0.0,0,0.0
5,6.0,55.0,6.0,7.0,2024-10-20,DET,@,MIN,"W, 31-29",*,8,8,112,14.0,1,100.0,14.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,54,94.7,0,0.0,0,0.0
6,7.0,56.0,7.0,8.0,2024-10-27,DET,,TEN,"W, 52-14",*,2,2,7,3.5,1,100.0,3.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,42,87.5,0,0.0,0,0.0
7,8.0,57.0,8.0,9.0,2024-11-03,DET,@,GNB,"W, 24-14",*,7,7,56,8.0,1,100.0,8.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,53,93.0,0,0.0,1,4.5
8,9.0,58.0,9.0,10.0,2024-11-10,DET,@,HOU,"W, 26-23",*,8,6,60,10.0,1,75.0,7.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,64,98.5,0,0.0,0,0.0
9,10.0,59.0,10.0,11.0,2024-11-17,DET,,JAX,"W, 52-6",*,11,11,161,14.6,2,100.0,14.6,1,-4,0,-4.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,63,79.7,0,0.0,0,0.0
10,11.0,60.0,11.0,12.0,2024-11-24,DET,@,IND,"W, 24-6",*,7,6,62,10.3,0,85.7,8.9,0,0,0,,0,0,,0,0,0,,,,0,0,2,15,0,7.5,0,0,0,0,0,0,68,94.4,0,0.0,3,12.5
11,12.0,61.0,12.0,13.0,2024-11-28,DET,,CHI,"W, 23-20",*,7,5,73,14.6,0,71.4,10.4,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,66,94.3,0,0.0,0,0.0
12,13.0,62.0,13.0,14.0,2024-12-05,DET,,GNB,"W, 34-31",*,6,5,43,8.6,0,83.3,7.2,1,10,0,10.0,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,68,85.0,0,0.0,0,0.0
13,14.0,63.0,14.0,15.0,2024-12-15,DET,,BUF,"L, 42-48",*,18,14,193,13.8,1,77.8,10.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,1,1,0,0,0,0,72,91.1,0,0.0,0,0.0
14,15.0,64.0,15.0,16.0,2024-12-22,DET,@,CHI,"W, 34-17",*,8,6,70,11.7,1,75.0,8.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,55,84.6,0,0.0,0,0.0
15,16.0,65.0,16.0,17.0,2024-12-30,DET,@,SFO,"W, 40-34",*,10,8,60,7.5,1,80.0,6.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,56,78.9,0,0.0,1,3.7
16,17.0,66.0,17.0,18.0,2025-01-05,DET,,MIN,"W, 31-9",*,7,6,77,12.8,0,85.7,11.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,55,80.9,0,0.0,0,0.0
17,,,,,,,,,15-2,,141,115,1263,11.0,12,81.6,9.0,2,6,0,3.0,1,1,100.0,7,1,0,7.0,27.0,135.4,0,0,2,15,0,7.5,1,1,0,0,0,0,1010,88.1,0,0.0,5,1.1
