,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,28.0,1.0,1.0,2021-09-12,BUF,,PIT,"L, 16-23",,4,4,41,10.3,0,100.0,10.3,0,0,0,0.0,0,0,0,0,0,0,48,56.5,0,0.0,0,0.0
1,2.0,29.0,2.0,2.0,2021-09-19,BUF,@,MIA,"W, 35-0",*,3,2,17,8.5,1,66.7,5.7,0,0,0,0.0,0,0,0,0,0,0,54,83.1,0,0.0,6,27.3
2,3.0,30.0,3.0,3.0,2021-09-26,BUF,,WAS,"W, 43-21",*,5,4,49,12.3,1,80.0,9.8,0,0,0,0.0,0,0,0,0,0,0,62,78.5,0,0.0,8,27.6
3,4.0,31.0,4.0,4.0,2021-10-03,BUF,,HOU,"W, 40-0",*,8,5,37,7.4,2,62.5,4.6,0,0,0,0.0,0,0,0,0,0,0,58,80.6,0,0.0,0,0.0
4,5.0,32.0,5.0,5.0,2021-10-10,BUF,@,KAN,"W, 38-20",*,4,3,117,39.0,1,75.0,29.3,0,0,0,0.0,0,0,0,0,0,0,55,96.5,0,0.0,0,0.0
5,6.0,33.0,6.0,6.0,2021-10-18,BUF,@,TEN,"L, 31-34",*,3,3,25,8.3,0,100.0,8.3,0,0,0,0.0,0,0,0,0,0,0,61,79.2,0,0.0,0,0.0
6,6.0,,7.0,8.0,2021-10-31,BUF,,MIA,"W, 26-11",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,6.0,,8.0,9.0,2021-11-07,BUF,@,JAX,"L, 6-9",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,7.0,34.0,9.0,10.0,2021-11-14,BUF,@,NYJ,"W, 45-17",*,1,1,17,17.0,0,100.0,17.0,0,0,0,0.0,0,0,0,0,0,0,49,84.5,0,0.0,0,0.0
9,8.0,35.0,10.0,11.0,2021-11-21,BUF,,IND,"L, 15-41",*,10,6,80,13.3,0,60.0,8.0,0,0,0,0.0,0,0,0,0,0,0,55,98.2,0,0.0,1,4.3
10,9.0,36.0,11.0,12.0,2021-11-25,BUF,@,NOR,"W, 31-6",*,3,3,32,10.7,2,100.0,10.7,0,0,0,0.0,0,0,0,0,0,0,60,90.9,0,0.0,0,0.0
11,10.0,37.0,12.0,13.0,2021-12-06,BUF,,NWE,"L, 10-14",*,6,2,14,7.0,0,33.3,2.3,0,0,0,0.0,0,0,0,0,0,0,56,96.6,0,0.0,3,13.0
12,11.0,38.0,13.0,14.0,2021-12-12,BUF,@,TAM,"L, 27-33 (OT)",*,9,7,60,8.6,1,77.8,6.7,0,0,0,0.0,1,1,0,0,0,0,75,96.2,0,0.0,0,0.0
13,12.0,39.0,14.0,15.0,2021-12-19,BUF,,CAR,"W, 31-14",*,5,4,38,9.5,0,80.0,7.6,0,0,0,0.0,0,0,0,0,0,0,63,90.0,0,0.0,0,0.0
14,13.0,40.0,15.0,16.0,2021-12-26,BUF,@,NWE,"W, 33-21",*,3,2,11,5.5,1,66.7,3.7,0,0,0,0.0,0,0,0,0,0,0,79,100.0,0,0.0,0,0.0
15,14.0,41.0,16.0,17.0,2022-01-02,BUF,,ATL,"W, 29-15",*,2,0,0,,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,67,88.2,0,0.0,0,0.0
16,15.0,42.0,17.0,18.0,2022-01-09,BUF,,NYJ,"W, 27-10",*,5,3,49,16.3,0,60.0,9.8,0,4,0,0.0,0,0,0,0,0,0,75,91.5,0,0.0,0,0.0
17,,,,,,,,,10-5,,71,49,587,12.0,9,69.0,8.3,0,4,0,0.0,1,1,0,0,0,0,917,86.7,0,0.0,18,4.6
